name,type,categories,floors,external_id,location_id
ITSHU.BKK,store,Fashion & Accessories,,08b07bd1-0826-5afe-8b4b-a74b2a7134d8,el_6954294197b8c60001db1502
CODY FACTORY,store,Entertainment,,d08aa7bc-c81e-587e-a67b-1b78c7e48ac8,el_6954294197b8c60001db1503
GIVE TO YOU,store,Home & Décor,,c9677c15-5eb2-50d1-be1d-f25fb7afddf0,el_6954294197b8c60001db1506
Garlic's little hair style,store,Health & Beauty,,28b5981c-6375-5615-8aca-095028c59d00,el_6954294197b8c60001db150a
SHU SOFA,store,Fashion & Accessories,,eca618c6-8183-513b-9540-d9e8ab778967,el_6954294197b8c60001db150c
Simply fineday,store,Home & Décor,,629087b1-210b-5be5-8d53-6dd7590d87c1,el_6954294197b8c60001db1510
COLOUR NAIL BAR,store,Health & Beauty,,39d6d196-b217-5aa1-97c7-4dcdeba5af33,el_6954294197b8c60001db1511
JOOM ZAP HUT/BAR B Q,store,Food & Beverage,,f94ca499-20eb-5305-9e95-cd645d4ee2e1,el_6954294197b8c60001db1512
IT CITY INFINITY (MOBILE PHONE),store,Technology,,23d1ed3d-e0c1-56b3-b682-ea2b2573722c,el_6954294197b8c60001db1515
CODEC CREATION,store,Entertainment,,06c094f5-2ce9-5fde-9197-5b263d990c1c,el_6954294197b8c60001db1518
ชาตรามือ,store,Food & Beverage,,7f60ba14-faac-5ebb-af9e-9529e87d28c4,el_6954294197b8c60001db1519
SKECHERS,store,Fashion & Accessories,,0ecd6281-0f8b-5f95-9507-2c82beb713ba,el_6954294197b8c60001db151a
BIG CAMERA,store,Technology,,3699969f-972b-5fee-adb2-066ad804af0d,el_6954294197b8c60001db151d
ZHOELALA,store,Fashion & Accessories,,63a447db-9edc-5870-bc29-dfc8d533377c,el_6954294197b8c60001db151f
Jenim Sports,store,Fashion & Accessories,,f5747834-0fbf-573e-8383-dbb99199aa54,el_6954294197b8c60001db1520
AURORA,store,Fashion & Accessories,,61221472-1e23-5e73-9814-845316722dde,el_6954294197b8c60001db1521
BAGGAGE LUGGAGE,store,Lifestyle,,03e4af54-0179-546c-bd02-d00eef5d6ec7,el_6954294197b8c60001db1522
GLAMOR,store,Fashion & Accessories,,c4679b58-61d2-575a-82e8-70539ad95146,el_6954294197b8c60001db1525
WRANGLER,store,Fashion & Accessories,,2baa7f20-435c-5697-8f2b-7b792ed5d71e,el_6954294197b8c60001db1526
POTATO CORNER,store,Food & Beverage,,2b54ff98-fa69-58a9-a079-51a0a0b9e80f,el_6954294197b8c60001db1528
SKY PLUS,store,Health & Beauty,,04ea7f0d-10ee-54cf-b520-5d7ca60cb18f,el_6954294197b8c60001db1529
ธนาคารทหารไทยธนชาต,store,Bank & ATM,,e2909a47-4a45-55aa-96bc-9fe92bc41891,el_6954294197b8c60001db152c
WALL STREET ENGLISH,store,Edutainment,,e2cac9cf-165b-58d4-bd05-e1a5178b3d04,el_6954294197b8c60001db1533
CAFE AMAZON,store,Food & Beverage,,a345da7f-8d14-5ced-a259-92dc51b7b87d,el_6954294197b8c60001db1534
MUJI,store,Home & Décor,,013ec018-f896-5e56-b78a-5466190a160e,el_6954294197b8c60001db1538
HENNEY BEAR,store,Fashion & Accessories,,3d04f59b-6076-592e-9a85-00b3995a0214,el_6954294197b8c60001db1539
AIS,store,Technology,,43d906ad-a89c-5aef-8db1-988aa384cd45,el_6954294197b8c60001db153a
AKA,store,Food & Beverage,,7a8cbaf5-b909-5e71-8b26-ca39480f9957,el_6954294197b8c60001db153b
BONCHON,store,Food & Beverage,,42081260-2f52-568b-8ac0-4f48c6a77d66,el_6954294197b8c60001db153f
