name,type,categories,floors,external_id,location_id
OTTERI WASH & DRY,store,General Service,,5f95f9e8-ee7d-5c0b-9fcb-0cec576ed75b,el_69727bc78bfd9e0001c06054
BKK,store,Technology,,582959c8-699a-5c59-9b14-8f6f78861457,el_69727bc78bfd9e0001c06056
POWER BUY,store,Technology,,3f202dc1-22ac-5b00-826b-a86c1c9783d0,el_69727bc78bfd9e0001c0605a
JIB,store,Technology,,b400a808-25f5-52ea-ae46-6ea5189452ca,el_69727bc78bfd9e0001c0605b
ROBINSON DEPARTMENT STORE,store,Central Department Store,,95558463-d273-549d-b775-af251fed9744,el_69727bc78bfd9e0001c0605c
ร้านนายอินทร์,store,Book & Stationeries,,dc1eff98-b18b-5cae-8878-9459e24bf700,el_69727bc78bfd9e0001c0605e
TG FONE,store,Technology,,8aa99af9-c6a1-5365-a3af-f084512c610d,el_69727bc78bfd9e0001c0605f
ธนาคารออมสิน,store,Bank & ATM,,e53e2c4f-1228-5f3b-bebc-c5ee712c2a19,el_69727bc78bfd9e0001c06061
เยาวราชกรุงเทพ,store,Fashion & Accessories,,5959557e-0933-5c0b-9841-474b936968e5,el_69727bc78bfd9e0001c06062
DIGITAL PHONE,store,Technology,,831fbee9-71b8-5d40-aa79-c5b741f3687b,el_69727bc78bfd9e0001c06063
AIS,store,Technology,,509716d2-7c10-512e-93eb-13ef16814750,el_69727bc78bfd9e0001c06064
JAY MART,store,Technology,,ac28c196-54b2-56a2-b7cf-0a0642c24e25,el_69727bc78bfd9e0001c06066
GANGNAM CLINIC,store,Health & Beauty,,59221f97-3e73-5aa4-88f0-7cbfca8f8c01,el_69727bc78bfd9e0001c06068
FUJI JAPANESE RESTAURANT,store,Food & Beverage,,acd9aa9a-128e-5abf-871f-85be8b2b3848,el_69727bc78bfd9e0001c06069
UOB XPRESS,store,Bank & ATM,,31c5ec60-3444-58e5-a036-7372e40d20fc,el_69727bc78bfd9e0001c0606a
THE KLINIQUE,store,Health & Beauty,,38bba13c-4c89-5385-84f5-7e8bb0723778,el_69727bc78bfd9e0001c0606b
โฟนโปร พลัส,store,Technology,,84a729af-4284-5339-bb3c-e9895c132e9b,el_69727bc78bfd9e0001c0606e
LYN,store,Fashion & Accessories,,960f6f30-2f05-5542-95da-ad023347bb17,el_69727bc78bfd9e0001c0606f
ห้างทองเพชรพลอยมณีภัณฑ์,store,Fashion & Accessories,,acb6eace-7191-501a-8020-d9f9b5295cc8,el_69727bc78bfd9e0001c06074
MR.D.I.Y.,store,Home & Décor,,f5de8f62-75ee-52ea-b1b5-18df24bee842,el_69727bc78bfd9e0001c06075
ภัทรโฟน,store,Technology,,45eb6123-59d4-5dc1-936f-c4980befaf09,el_69727bc78bfd9e0001c06076
JOY MOBILE,store,Technology,,3326736d-0469-59f3-ba46-d09ee7fbce42,el_69727bc78bfd9e0001c06077
BANANA,store,Technology,,6c5a38f0-658f-5cc9-bca0-e969c5dd64d6,el_69727bc78bfd9e0001c06078
