name,type,categories,floors,external_id,location_id
AlX ARMANI EXCHANGE,store,Fashion & Accessories,,22c08c4c-bf13-5c29-b169-59a369626119,el_67d84f530eb5815d8dd461e9
REV RUNNR,store,Fashion & Accessories,,180a2d1c-1551-5903-af3c-b8d18765281b,el_682a05557de39d000133834f
BEAUTRIUM,store,Health & Beauty,,b47fd1a8-9fc4-5acb-8c40-238cecea61e9,el_682a05557de39d0001338375
OUTLET BY CLUB 21,store,Fashion & Accessories,,5b017bfb-9f22-5632-b6f4-51812844cde5,el_682a05557de39d00013383c4
ANTA,store,Fashion & Accessories,,95c7ec22-44af-5f28-be76-7c43f600daea,el_682a05557de39d00013383d7
MANTENDO,store,Fashion & Accessories,,fa5efb9c-7f6e-5faa-ab0a-162621d7c306,el_688a42c638e1c90001aa1a59
XOLO OUTPOST,store,Fashion & Accessories,,b15be600-0e5e-5369-be47-b0aceb191e4f,el_68937d603506970001873dba
HOKA,store,Fashion & Accessories,,6f60a35c-507c-5e63-82ad-cd3c6b3067d8,el_68a1fdd72795530001c61073
THE BARREL,store,Food & Beverage,,e432587d-d364-5fe4-9ad3-9ee825844444,el_68ab385a7446c00001c2d7f5
HAVAIANAS,store,Fashion & Accessories,,4450d3c6-edeb-5122-a61f-840222a28edb,el_68addb5e74b4390001bafd1f
LYN,store,Fashion & Accessories,,05bc3c2f-c820-5d60-989f-fa8201022e5b,el_68addb5e74b4390001bafd21
CHARLES & KEITH,store,Fashion & Accessories,,4d476171-b5f4-5a68-ba55-5fedc41b9640,el_68addb5e74b4390001bafd24
THE COSMETICS COMPANY STORE,store,Health & Beauty,,d3f77f5d-ec0f-59aa-8389-0b8416845571,el_68addb5e74b4390001bafd2d
KFC,store,Food & Beverage,,fc11b886-54e8-5b57-841f-30a363e1e8de,el_68addb5e74b4390001bafd2e
GQ,store,Fashion & Accessories,,8020ae93-f7d5-507f-a626-46dd261c3c69,el_68addb5e74b4390001bafd30
NEW BALANCE,store,Fashion & Accessories,,2708935b-8aad-5d32-bd6e-257eb15b66bd,el_68addb5e74b4390001bafd31
MANGO,store,Fashion & Accessories,,c1700cd0-b72c-5514-b196-9fbd9e32c124,el_68addb5e74b4390001bafd33
TUMI,store,Fashion & Accessories,,a53990f2-6a31-5974-9900-7a8a0a8dabf3,el_68addb5e74b4390001bafd39
MLK CONNECT,store,Home & Décor,,ec83cac4-1713-53a7-9e6c-335b65f2a465,el_68addb5e74b4390001bafd3a
ANELLO,store,Fashion & Accessories,,280c4bfd-3aaf-52cc-a9bd-059e9494ed51,el_68addb5e74b4390001bafd3b
Beverly Hills Polo Club,store,Fashion & Accessories,,74509ea4-0abc-57bc-92a9-0a399e284bcf,el_68addb5e74b4390001bafd41
ASICS,store,Fashion & Accessories,,adba38b2-b6cc-5489-8c4c-f121162381f5,el_68addb5e74b4390001bafd47
BOSS,store,Fashion & Accessories,,bc80d98d-6f5d-515b-9af5-a4b16adb3c99,el_68addb5e74b4390001bafd49
LYN AROUND,store,Fashion & Accessories,,d82af69d-56b0-5703-949b-2b7d0c049bfb,el_68addb5e74b4390001bafd4b
ALDO,store,Fashion & Accessories,,237baa3b-bf0c-528f-83cb-08c8bfbb81d3,el_68addb5e74b4390001bafd4c
O-li-no,store,Food & Beverage,,fbafe336-e32e-5de5-8e9e-2625a1617452,el_68addb5e74b4390001bafd51
CHAMPION,store,Fashion & Accessories,,639e6029-0ec0-5ea6-a31b-199a2e1c17ea,el_68addb5e74b4390001bafd53
WATSONS,store,Health & Beauty,,dd8e498e-5bb6-56fa-96a2-48b335891d89,el_68addb5e74b4390001bafd62
AMERICAN TOURISTER,store,Lifestyle,,beef0e8a-4199-5c66-a592-08252ff5929f,el_68addb5e74b4390001bafd67
SF BRANDNAME,store,Fashion & Accessories,,da53f263-494a-5e2c-92bb-f2668c028717,el_68addb5e74b4390001bafd72
SANTAS,store,Home & Décor,,8c330cdb-b093-50d6-9d10-14686ee9da80,el_68addb5e74b4390001bafd74
"SALVATORE FERRAGAMO,FERRAGAMO",store,Fashion & Accessories,,42926d5a-b516-577d-8383-21f741ebc08d,el_68addb5e74b4390001bafd76
UNDER ARMOUR,store,Fashion & Accessories,,da474acb-80c0-5fcd-b9d0-64a6bd4a79ec,el_68addb5e74b4390001bafd77
LE COQ SPORTIF,store,Fashion & Accessories,,1dce5cce-f050-54d0-991a-79320f4a4543,el_68addb5e74b4390001bafd82
LUXE GALERIE,store,Fashion & Accessories,,fbbcb007-57a9-5b1c-b555-c8ba4d1755b0,el_68af2ce51b1c6d0001411343
SKECHERS,store,Fashion & Accessories,,ee7f00da-298e-5e45-8393-8b1c07e8c978,el_68af2ce51b1c6d0001411344
LEVI'S,store,Fashion & Accessories,,b1d0ec4f-c469-5f44-aa25-1fe955d4c0db,el_68af2ce51b1c6d0001411346
DIESEL,store,Fashion & Accessories,,d1286d7a-9cc6-596d-aab6-53cb0e3d03a7,el_68af2ce51b1c6d0001411348
MONOWHEEL,store,Edutainment,,6a9b122e-1fe5-573a-a26f-d122b9c7aa33,el_68b321606b1b24000102eec6
STARBUCKS COFFEE,store,Food & Beverage,,8a7b550d-92a7-552f-bbcb-ec49abe94e9d,el_68b715d8a905a0000144d572
