name,type,categories,floors,external_id,location_id
CHANA,store,Fashion & Accessories,,de34a981-828a-589e-98fa-e5d0ea2ecd58,el_67ffc9e1140478e1db1e524e
CAFAKANOM BY GOT,store,Food & Beverage,,9b779a0b-dcff-54ee-8149-713200ae5bf8,el_67ffc9e1140478e1db1e524f
AMAXS,store,Home & Décor,,cac1aa19-1daf-590f-9d9e-11a9ada2b5ad,el_67ffc9e1140478e1db1e5250
MayBank Securities,store,Bank & ATM,,63f198e4-c9ab-54b5-aaad-1f94376ec56d,el_67ffc9e1140478e1db1e5252
QUICKLY PLUS,store,Food & Beverage,,1d8e7dec-3f0d-56dc-8d64-37d490deb8e0,el_67ffc9e1140478e1db1e5253
UOB XPRESS,store,Bank & ATM,,cc431ef1-6dc3-5b4d-b71f-5183613a4831,el_67ffc9e1140478e1db1e5254
SPIN,store,Fashion & Accessories,,01ebb547-8652-55d7-aa82-001b86bbe05f,el_67ffc9e1140478e1db1e5255
SAMSUNG,store,Technology,,8ed1e5ac-9397-5325-83be-2153a9dfe5ab,el_67ffc9e1140478e1db1e5256
SABINA,store,Fashion & Accessories,,128a69fb-329d-5a6d-91ca-78a194ecd0fe,el_67ffc9e1140478e1db1e5257
BANGKOK BANK,store,Bank & ATM,,851fed9e-bbf3-5c65-bfba-a66de93b5abb,el_67ffc9e1140478e1db1e5258
TEATARO,store,Food & Beverage,,c94bd486-203e-56f4-8804-43f9c93dbbb7,el_67ffc9e1140478e1db1e5259
WATSONS,store,Health & Beauty,,56a4de0f-26de-5d0a-abd1-7bdba9e1bfe9,el_67ffc9e1140478e1db1e525a
F.F. MOBILE,store,Technology,,83229ca2-6c72-557f-a2b4-416906f04c31,el_67ffc9e1140478e1db1e525b
GOVERNMENT SAVING BANK,store,Bank & ATM,,f81e0295-e8dc-5cfb-96b8-7a50696ac855,el_67ffc9e1140478e1db1e525c
GANGNAM CLINIC,store,Health & Beauty,,4bbc4094-61e3-5bdd-b65e-b1f393df9252,el_67ffc9e1140478e1db1e525d
SHABUSHI,store,Food & Beverage,,a658d208-60db-52e9-be2c-b02fb0c49c22,el_67ffc9e1140478e1db1e525e
DAVIE JONES,store,Fashion & Accessories,,b1744609-7ec2-56fc-be57-3d90554e9ba9,el_67ffc9e1140478e1db1e525f
