name,type,categories,floors,external_id,location_id
LOURSON | Central Department Store,store,Central Department Store,,dfbe50e2-858d-5b78-a310-2b827d632d6a,el_6877cdc73cf52e000133e056
CALVIN KLEIN | Central Department Store,store,Central Department Store,,6f2b1751-e7d3-54f4-8bdc-d18e92375270,el_6877cdc73cf52e000133e057
SILVER CROSS | Central Department Store,store,Central Department Store,,0ee8f673-0cf4-506a-9bf7-e0c0734d18e2,el_6877cdc73cf52e000133e058
HELLO KITTY | Central Department Store,store,Central Department Store,,0bb38709-06fc-55a9-8093-f735a4d1ba13,el_6877cdc73cf52e000133e059
PANASONIC | Central Department Store,store,Central Department Store,,7c5d1f47-a832-54b5-912d-339c86e3b691,el_6877cdc73cf52e000133e05a
FOOTWEAR BY DAPPER | Central Department Store,store,Central Department Store,,76e1fd60-6108-5d1f-8934-f07e3184d637,el_6877cdc73cf52e000133e05b
WACOAL | Central Department Store,store,Central Department Store,,09f232b2-a033-5d95-9d69-8a6feb7e991f,el_6877cdc73cf52e000133e05c
PAUL MARC | Central Department Store,store,Central Department Store,,1b017b7c-a623-5c66-b29b-1ea010896813,el_6877cdc73cf52e000133e05d
KIDS STEP | Central Department Store,store,Central Department Store,,c2a04e59-c061-5275-b211-e4580d06d6a3,el_6877cdc73cf52e000133e05f
NAUTICA | Central Department Store,store,Central Department Store,,cc7c4e18-878e-5523-8d89-3d5f2881a28f,el_6877cdc73cf52e000133e060
REVLON | Central Department Store,store,Central Department Store,,4ddd7aa0-2756-5217-a2e7-f24b95596569,el_6877cdc73cf52e000133e061
ALUMNUS WOMEN | Central Department Store,store,Central Department Store,,0dd09885-a1ce-5001-829c-fbda05c24da5,el_6877cdc73cf52e000133e062
JACK RUSSEL | Central Department Store,store,Central Department Store,,3e70f9a8-f51a-58f1-9237-da1128ab1a54,el_6877cdc73cf52e000133e063
NATURALIZER | Central Department Store,store,Central Department Store,,ba87d09f-2831-5358-8c83-ffd64ebb6be1,el_6877cdc73cf52e000133e064
PERICO | Central Department Store,store,Central Department Store,,ac1996d2-e6af-532b-9545-909f901d7fd7,el_6877cdc73cf52e000133e065
FILA | Central Department Store,store,Central Department Store,,55f63ab0-397c-520b-88de-b87a9b40dfbb,el_6877cdc73cf52e000133e066
WALKER | Central Department Store,store,Central Department Store,,c47b2bd1-b9dc-5f94-a0d9-2f2d64a82066,el_6877cdc73cf52e000133e067
PHILIPS | Central Department Store,store,Central Department Store,,1f10cec7-3d64-5f50-bed7-42b7973108ee,el_6877cdc73cf52e000133e068
EMBIX | Central Department Store,store,Central Department Store,,27d89eef-235f-50d6-a36d-4bcf1d1c5479,el_6877cdc73cf52e000133e069
PAPA | Central Department Store,store,Central Department Store,,a53f5327-daf7-54ac-b933-c6916293d406,el_6877cdc73cf52e000133e06a
HEAVY | Central Department Store,store,Central Department Store,,abc00dba-d8f6-589f-8d73-8ef7c735f776,el_6877cdc73cf52e000133e06b
REGINA | Central Department Store,store,Central Department Store,,481c5886-61db-5499-9528-05b35bde419e,el_6877cdc73cf52e000133e06c
LTD | Central Department Store,store,Central Department Store,,726ed6ef-5087-5c14-9453-f60f6ee5a4b3,el_6877cdc73cf52e000133e06d
SKECHERS | Central Department Store,store,Central Department Store,,ce5fb7b9-d22b-5e38-bd12-c812fb7b23fe,el_6877cdc73cf52e000133e06e
NEW BALANCE | Central Department Store,store,Central Department Store,,d040c1d8-8c06-5848-b814-2842ff3b2f4d,el_6877cdc73cf52e000133e06f
BE ME | Central Department Store,store,Central Department Store,,98043655-08e5-5872-b1ea-946faf37eee6,el_6877cdc73cf52e000133e070
PLAYBOY | Central Department Store,store,Central Department Store,,7e9df2e4-3310-5cb1-946b-e2ec2e885fca,el_6877cdc73cf52e000133e071
ARROW | Central Department Store,store,Central Department Store,,4095a9b5-3461-5b0c-8b1d-3d139205293c,el_6877cdc73cf52e000133e072
