mall_code,mall_name,store_name,group,brand,categories,floors,external_id,location_id
AYY,Central Ayutthaya,POWER BUY,CRC,Power Buy,Technology,,c8a32bc0-ead5-533c-83be-a2cc67b708a4,el_69542a72f1b9080001360ea8
AYY,Central Ayutthaya,TOPS,CRC,Tops Supermarket,Food & Beverage,,e8b21ae7-3cbd-59c6-962d-ed75a89f0bc8,el_69542a72f1b9080001360eb9
AYY,Central Ayutthaya,MISTER DONUT,CRG,Mister Donut,Food & Beverage,,45266948-19f8-5bbc-a08f-7277377c6445,el_69542a72f1b9080001360ec2
AYY,Central Ayutthaya,KFC,CRG,KFC,Food & Beverage,,7cb2bdf5-1a7b-5f62-a730-927b4fe308f4,el_69542a72f1b9080001360ee7
AYY,Central Ayutthaya,SHINKANZEN SUSHI,CRG,Shinkanzen Sushi,Food & Beverage,,bd5b3f38-1c2f-5b13-9719-a1760436cc57,el_69542a72f1b9080001360f0b
AYY,Central Ayutthaya,SUPERSPORTS,CRC,Supersports,Fashion & Accessories,,3c4bfae7-94d5-54b9-b20c-20b1855ba711,el_69542a72f1b9080001360f16
AYY,Central Ayutthaya,B2S,CRC,B2S,Book & Stationeries,,004655a1-80f1-5d97-8ea4-a1b710b18d63,el_69542a72f1b9080001360f1e
AYY,Central Ayutthaya,TOPS DAILY,CRC,Tops Supermarket,Food & Beverage,,e6879fd2-cfd7-50c0-80c6-ba4ddfcb3199,el_69542a72f1b9080001360f21
AYY,Central Ayutthaya,AUNTIE ANNE'S,CRG,Auntie Anne's,Food & Beverage,,2463f29f-c85e-573d-9b9b-47f5b4968297,el_69542a72f1b9080001360f22
BNA,Central Bangna,POWER BUY,CRC,Power Buy,Technology,,e64b9b3a-9dae-587f-bb27-f885f3240dc9,el_699dfb3baa091b000151567a
BNA,Central Bangna,CENTRAL DEPARTMENT STORE,CRC,Central / Robinson Dept Store,Central Department Store,,abccf99b-4ced-5d8b-bc17-1b24bf291b3c,el_699dfb3baa091b000151567f
BNA,Central Bangna,B2S,CRC,B2S,Book & Stationeries,,b8369da1-703a-5b23-83a9-f8e68f825d41,el_699dfb3baa091b000151568a
BNA,Central Bangna,CENTRAL DEPARTMENT STORE,CRC,Central / Robinson Dept Store,Central Department Store,,60d4deb3-16df-5b8b-b3f6-b6ecfba860bb,el_699dfb3baa091b000151568b
BNA,Central Bangna,AUNTIE ANNE'S,CRG,Auntie Anne's,Food & Beverage,,735b3388-1a66-5b8a-929d-8962ba132a1a,el_699dfb3baa091b000151569f
BNA,Central Bangna,B2S,CRC,B2S,Book & Stationeries,,a39d57ea-d7f8-5e38-8f83-53c294afc750,el_699dfb3baa091b00015156a9
BNA,Central Bangna,CENTRAL DEPARTMENT STORE,CRC,Central / Robinson Dept Store,Central Department Store,,7abf9a97-2bf6-5fe6-b347-49ec1292ccd3,el_699dfb3baa091b00015156b7
BNA,Central Bangna,TOPS SUPERMARKET,CRC,Tops Supermarket,Super Market,,f99e791e-0bb8-55f7-b120-80a0c3e55074,el_699dfb3baa091b00015156bd
BNA,Central Bangna,CENTRAL DEPARTMENT STORE,CRC,Central / Robinson Dept Store,Central Department Store,,762b7b23-a0ed-5f1c-a861-79d6378d7329,el_699dfb3baa091b00015156cd
BNA,Central Bangna,KFC,CRG,KFC,Food & Beverage,,b225187f-5722-5441-b30e-29f79dbf239c,el_699dfb3baa091b0001515707
BNA,Central Bangna,YOSHINOYA,CRG,Yoshinoya,Food & Beverage,,840645a4-dfd9-580e-ae6b-e8ab5950e4c5,el_699dfb3baa091b0001515711
BNA,Central Bangna,ISETAN,CRC,Central / Robinson Dept Store,Central Department Store,,8ac1ab51-d0d2-594d-874c-75696f8a041b,el_699dfb3baa091b0001515735
BNA,Central Bangna,CENTRAL DEPARTMENT STORE,CRC,Central / Robinson Dept Store,Central Department Store,,80443ad6-872f-5449-8354-84ffd6851c4c,el_699dfb3baa091b000151573b
BNA,Central Bangna,PEPPER LUNCH,CRG,Pepper Lunch,Food & Beverage,,db4de302-4532-525e-8ef0-fd009310be08,el_699dfb3baa091b000151573f
BNA,Central Bangna,POWER BUY,CRC,Power Buy,Technology,,0042de34-e01d-5d0b-82ef-cb2a5e009335,el_699dfb3baa091b000151574a
BNA,Central Bangna,KATSUYA,CRG,Katsuya,Food & Beverage,,8cdb8609-41cf-5b26-9f0e-1231c56b5ea2,el_699dfb3baa091b0001515751
BNA,Central Bangna,COLD STONE CREAMERY,CRG,Cold Stone Creamery,Food & Beverage,,afba4ac0-5bef-57f5-9048-f1d0843578ce,el_699dfb3baa091b0001515756
CBR,Central Chonburi,GARMIN | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,6b951c2f-6e2a-545b-900e-b4541030e996,el_688ce5c5180e650001fea3cd
CBR,Central Chonburi,DNEE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,edcb9883-d740-5842-9973-598823c2475a,el_688ce5c5180e650001fea3ce
CBR,Central Chonburi,CITIZEN | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,f5a06797-e4a0-54c6-a0a4-36b37ece4316,el_688ce5c5180e650001fea3d0
CBR,Central Chonburi,CHOLE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,4c0f0ea5-fe6c-550d-a583-04643431f600,el_688ce5c5180e650001fea3d1
CBR,Central Chonburi,FITFLOP | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,b816e969-2011-5c66-9d19-016b4921aa08,el_688ce5c5180e650001fea3d2
CBR,Central Chonburi,STEVENS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3f993ac2-b19e-5611-ab20-181c1c37748c,el_688ce5c5180e650001fea3d3
CBR,Central Chonburi,LAURA MERCIER | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7b6628f1-85e1-58d8-97a6-e8a78de4d4d5,el_688ce5c5180e650001fea3d4
CBR,Central Chonburi,GUY LAROCHE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a1df053c-c0a2-507b-a4e6-76461eaf6f21,el_688ce5c5180e650001fea3d5
CBR,Central Chonburi,ERAWON | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,7badc259-ba09-519b-b037-4857cf42af59,el_688ce5c5180e650001fea3d6
CBR,Central Chonburi,CRUISE BY CHRISTIANA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,997046cf-25db-50a7-b8e1-fac905de7048,el_688ce5c5180e650001fea3d7
CBR,Central Chonburi,MONARCH | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3b2d1a34-50ae-5a6f-a38d-e22a92b45136,el_688ce5c5180e650001fea3d8
CBR,Central Chonburi,FITFLOP | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2c0e1f2f-7ac1-54df-a3f4-93f14bd5a06b,el_688ce5c5180e650001fea3da
CBR,Central Chonburi,NECA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,146ddaa5-eca9-5f5b-ad37-15b7ed5dc523,el_688ce5c5180e650001fea3db
CBR,Central Chonburi,DORTMUEND | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2cacbef7-9588-5768-9642-00afb60ed55b,el_688ce5c5180e650001fea3df
CBR,Central Chonburi,CARE BEARS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,8c0d79f0-dfc4-57b9-9df6-ce38061eaff2,el_688ce5c5180e650001fea3e2
CBR,Central Chonburi,TELLME | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5d4d740e-6058-5151-af8b-11f0a67c96e6,el_688ce5c5180e650001fea3e3
CBR,Central Chonburi,VTECH | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c060ab44-6137-52cb-a3c7-9938b557c21d,el_688ce5c5180e650001fea3e5
CBR,Central Chonburi,EXPRESSIONS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,58084967-b590-548d-af4f-509875a43642,el_688ce5c5180e650001fea3e7
