Tenant,Betweenness
MK RESTAURANTS,0.00483429651244308
BOOTS,0.004829630058618518
POTATO CORNER,0.004828616765629418
CAFE AMAZON,0.0047995991767119965
KRISPY KREME,0.004566570787263026
STARBUCKS COFFEE,0.00439951525201966
SUPER SPORTS,0.004377991010057488
BANANA,0.0043096053845375695
POWER BUY,0.0043093720271101515
SWENSEN'S,0.004288053778875686
GOVERNMENT SAVINGS BANK,0.004275583757541397
LAEM CHAROEN SEAFOOD,0.004199276156907963
CROCS,0.004137631961139774
BAR-B-Q PLAZA,0.004120498627915377
AUNTIE ANNE'S,0.004109016363904495
KFC,0.004102927502212066
BONCHON,0.0040822602327486
WATSONS,0.004079252247664457
DAIRY QUEEN,0.004039852390996811
KOI THE,0.004027789872125658
BATA,0.004008718742165795
AIS,0.003993240679882077
FUKU MATCHA,0.003992336759648477
SAMSUNG,0.003966793061370702
ORIENTAL PRINCESS,0.00394428725209925
OPTIC SQUARE,0.003875349116843629
UNIQLO,0.003844014237410711
JAY MART,0.0038051008139708825
CENTRAL DEPARTMENT STORE,0.0037925245531241682
ANELLO,0.0037553345897316163
BANGKOK BANK,0.0037270625460265783
LYN,0.003684246733355211
BETTER VISION,0.0036664353192874684
XIAOMI,0.003620296120430067
GAGA,0.00356416347648032
OWNDAYS,0.003531715329223157
KASIKORN BANK,0.003530726020431651
GIORDANO,0.00352734015506636
HACHIBAN RAMEN,0.0034699091652941514
ON THE TABLE,0.003468982145690203
EYE CLASS,0.0034689028491995595
SIAM COMMERCIAL BANK,0.003464388065558733
FUJI JAPANESE RESTAURANT,0.0034630576912848357
BOOST JUICE BAR,0.0034583153148193993
BIG CAMERA,0.003453941189759711
DAISO,0.0034535387752987904
SIZZLER,0.003448323293179826
MO-MO-PARADISE,0.0034348815478251163
THE KLINIQUE,0.003434774007855224
KRUNG THAI BANK,0.003418406741958308
YAYOI,0.003404540852896131
JASPAL,0.0034011365299300594
S&P,0.003380767515984232
COCO ICHIBANYA,0.0033545025256905506
TRUE,0.0033030849756071233
YVES ROCHER,0.0033004982692144197
SKECHERS,0.0032654834528943063
HUAWEI,0.0032619077285305715
ZEN JAPANESE RESTAURANT,0.0032512999740067204
PRADAP,0.0032120515796122944
VIVO,0.0031994488665710572
SABINA,0.003165197558622183
B2S,0.0031311090469742942
JIB,0.0031072430163458344
DTAC,0.0031060167482140533
CUTE PRESS,0.0030926322921612215
CHATRAMUE,0.003074635999583613
OOTOYA,0.003050276672127131
LACOSTE,0.0030273465512932842
CONVERSE,0.002995053214377532
PANDORA,0.002994570286400937
CHARLES & KEITH,0.0029825396110562115
SHABUSHI,0.0029775763013611643
ROMRAWIN CLINIC,0.002973322240154185
AKA,0.0029599974200737824
BODY GLOVE,0.0029352116482654657
NITIPON CLINIC,0.0029184246473380948
BEAUTRIUM,0.002916627108248671
AURORA,0.0029107298911208957
ADIDAS,0.002910566556820664
CC-OO,0.0028955928530050024
MISTER DONUT,0.0028831909993465824
BAKE A WISH,0.0028826847308005103
SALAD FACTORY,0.0028709929037209238
KATSUYA,0.0028607193044573606
SANTA FE' STEAK,0.002847633166037981
IT CITY,0.002789141044478552
YUEDPAO,0.0027654374482754336
TMB THANACHART BANK,0.002758288651650722
UNITED OVERSEAS BANK,0.0027501634063745364
TOPS,0.002738301560262995
NOSE TEA,0.002738176626550576
TG FONE,0.002695446682555385
PEPPER LUNCH,0.002632276370003636
MOSHI MOSHI,0.0026179932022845722
MC JEANS,0.002575375567270476
PLAYBOY,0.0025726165849985394
BANGKOK GOLDS,0.0025373886299048204
THE FACE SHOP,0.0025359496778706424
THE PIZZA COMPANY,0.0025040281151997336
RAVIPA,0.0025019052176300928
TOPS MARKET,0.0024836119134031246
LEVI'S,0.002468196694534051
LYN AROUND,0.002457218073511239
OFFICEMATE,0.002449319112516009
CPS CHAPS,0.002430764080209366
REMAX,0.00239610427043922
MR. DIY,0.002394036165440105
MUJI,0.0023934800143170613
GANGNAM CLINIC,0.0023778458357836783
APEX,0.002348653639549497
BANGKOK INSURANCE,0.0023404574831296064
BATH & BODY WORKS,0.002333249565104412
ASICS,0.00232409633658728
JELLY BUNNY,0.002307322904273091
CATH KIDSTON,0.002304519313617044
BREADTALK,0.002236385598102054
FITFLOP,0.002234439079318151
BANK OF AYUDHYA,0.002229130048081569
AIIZ,0.0022214190679570034
MIXUE,0.002211964703601732
G-SHOCK CASIO,0.0021894308301972473
OPPO,0.0021845858227963755
HAVAIANAS,0.0021660304327861916
KT OPTIC,0.0021563088590295415
AFTER YOU,0.0021089933170466923
H&M,0.002108318792611487
NEW BALANCE,0.002087769871797953
WRANGLER,0.002085214901198609
OLINO CREPE & TEA,0.002077194400556243
PORNKASEM CLINIC,0.0020763044341120195
KRUNGSRI FIRST CHOICE,0.0020605005696421696
VANS,0.0020485708506390466
AEON THANA SINSAP,0.0020451913643578187
INNISFREE,0.002037067988103493
TO B 1 HAIR STATION,0.002035531919267101
HUA SENG HONG,0.002029660333914361
THE NEXT,0.002012712802125186
WACOAL,0.0020114774680538125
ADVICE,0.0020020926152739525
EYE LAB EXCLUSIVE,0.0020013005541255784
STUDIO 7,0.0019949510619497444
SUKISHI,0.0019899868605457727
KIPLING,0.0019889529780380824
FOCUS,0.001975122414557795
YAMAZAKI,0.0019677316091879166
GQ,0.0019510273574315077
SE-ED BOOK CENTER,0.0019480586388920006
NGG,0.0019469705251438445
JUBILEE,0.0019400625205233748
KYO ROLL EN,0.0019202250913581433
P&F,0.001910345798343533
SHU UEMURA,0.0018924584882493655
MLB,0.001873964240078978
YOSHINOYA,0.0018732488402599346
GARMIN,0.0018687852155758401
POMELO,0.0018623744881754163
V SQUARE CLINIC,0.0018536887376774532
COLD STONE CREAMERY,0.0018268052159951956
SUSHIRO,0.0018028015306390433
POLI-CHEM,0.0017915427517829576
MC DONALD'S,0.0017632941904424189
LAOS YUAN,0.0017567886658823235
HAAGEN-DAZS,0.0017557390576198625
YAMAHA MUSIC SCHOOL,0.0017336579964350133
NEW ERA,0.0017336083882896233
OPTICAL 88,0.0017323264467486489
TEVA,0.0017219495067504803
G2000,0.001695028725322235
RIP CURL,0.0016854356305330243
THAI CREDIT BANK,0.001682512977053861
BIRKENSTOCK,0.001679252758417559
WHITE STORY,0.0016714751816232836
BOON TONG KEE,0.0016671142649486695
FUN CITY,0.0016192205302854106
SUIT SELECT,0.0015971362199873988
MATH TALENT BY DR. YING,0.0015856085402691186
CUT & CURL,0.0015691739840041465
SUSHI DEN,0.0015661230353536102
FUTURE LIVING,0.0015647580608868243
YUM SAAP,0.0015589203825218906
THE NORTH FACE,0.0015556299844859908
UNDER ARMOUR,0.0015523919914457885
UOB XPRESS,0.0015512959491077443
FOODPARK,0.0015322879496197622
TISCO BANK,0.0015102471137352714
MILLE,0.0015085225369720799
CHESTER'S,0.0015061373227218356
MINE,0.001486802120021567
ALL ABOUT YOU,0.0014864275983727095
SMILEYHOUND,0.0014754404121664407
QUINN,0.0014695839019767745
IPPUDO,0.0014685365438084385
MOLTO,0.0014450710206279633
MUANG THAI LIFE ASSURANCE,0.0014324250609841379
PRO CLEAN,0.0014230787481148864
KAMU TEA,0.001421195095700779
FILA,0.0014106060251330046
URTHE,0.0013933546647864662
SAMSONITE,0.0013893847477808633
DYSON,0.001380423720206105
JONES SALAD,0.0013796482487556311
HUSH PUPPIES,0.0013635893514820654
MUSIC COLLECTION,0.0013607537017912398
AMOR,0.0013435865949677785
CIMB THAI BANK,0.0013287611425214906
MINISO,0.0013172952303038164
ZEN,0.0013049717194915124
MOTTA,0.001293533791888749
GUY LAROCHE,0.001291861549688598
WARAPORN SALAPAO,0.0012866244556556626
PREM,0.0012783723154339494
YOU & I SUKI,0.0012734059656623476
L'OCCITANE,0.0012710245441039782
KUMPOON,0.0012706911886099215
CHABUTON,0.0012695763543947697
GATEAUX HOUSE,0.0012622943071573833
NIKE,0.0012601130294653908
INTHANIN COFFEE,0.0012574084029631542
CURIOO KIDS,0.0012564454292671883
WITH IT,0.0012550664650148144
ALDO,0.0012544192715454217
SPAGHETTI FACTORY,0.001242307719639995
SEPHORA,0.0012420244035060612
DILAVIE,0.0012336198001395942
NICE TWO MEAT U,0.0012231923824498707
