Tenant,Degree,Malls,Categories,Community,Corporate,Betweenness,Eigenvector
%ARABICA,3,Central Park; Central Pattaya; Central Phuket Floresta,Food & Beverage,3,,2e-06,0.000613
(SU) PETCH TANA,1,centralwOrld,Fashion & Apparel,,,0.0,0.0
.LIFE,13,Central Ayutthaya; Central Chiangmai; Central Eastville; Central Hatyai; Central Khonkaen; Central Phitsanulok; Central Phuket Festival; Central Rama 9; Central Rayong; Central Si Racha; Central Udon; Central Westgate; centralwOrld,Technology & Electronics,0,,0.000684,0.022718
100 องศากระทะเดือด,1,Central Chaengwattana,Food & Beverage,,,0.0,0.0
12VICTORY,1,Central Rama 9,Robinson Department Store,,,0.0,0.0
160°C PASTRY AND SPEACIALTY COFFEE,1,Central Chonburi,Food & Beverage,,,0.0,0.0
168 Acessories,1,Central Hatyai,Lifestyle & Specialty,,,0.0,0.0
1:2 CHIANGRAI BREW - CENTRAL,1,Central Chiangrai,Food & Beverage,,,0.0,0.0
1ST NAIL STUDIO,1,Central Suratthani,Beauty & Wellness,,,0.0,0.0
2 SIS SHOP,1,Central Korat,Fashion & Apparel,,,0.0,0.0
2 WICKS CAMDLE,1,Central Chiangrai,Beauty & Wellness,,,0.0,0.0
2 WIN,2,Central Marina Outlet; Central Pattaya,Fashion & Apparel,,,0.0,0.0
2 WIN 1,1,Central Pattaya,Fashion & Apparel,,,0.0,0.0
219 have a good fruit,1,Central Chiangmai,Food & Beverage,,,0.0,0.0
22 BARBER & SALON,1,Central Phuket Festival,Beauty & Wellness,,,0.0,0.0
22TWENTYTWO.STUDIO,5,Central Chaengwattana; Central Pinklao; Central Rama 3; Central Rama 9; Central Westgate,Beauty & Wellness,0,,0.000201,0.01165
22WRLDWIDEE,1,Central Westgate,Fashion & Apparel,,,0.0,0.0
236 MOBILE STATION,1,Central Rama 2,Technology & Electronics,,,0.0,0.0
239GIFTSHOP,1,Central Nakhonsawan,Fashion & Apparel,,,0.0,0.0
246 GIFT FOR HER,1,Central Hatyai,Lifestyle & Specialty,,,0.0,0.0
24MAY.STUDIO,1,Central Mahachai,Fashion & Apparel,,,0.0,0.0
25 YOGURT,1,Central Mahachai,Food & Beverage,,,0.0,0.0
28 PLEASE,1,Central Bangna,Fashion & Apparel,,,0.0,0.0
28ML SPECIALTY COFFEE & TEA BAR,1,Central Westgate,Food & Beverage,,,0.0,0.0
29DECEMBER.CO,1,centralwOrld,Fashion & Apparel,,,0.0,0.0
2ND STREET,4,Central Chaengwattana; Central Rama 3; Central Westgate; centralwOrld,Fashion & Apparel,0,,0.000184,0.007041
2P ORIGINAL,2,Central Chiangmai; centralwOrld,Central Department Store,,,0.0,0.0
2SIS NAIL,1,Central Udon,Beauty & Wellness,,,0.0,0.0
2SKATE,1,Central Rama 3,Entertainment,,,0.0,0.0
2Skates,1,Central Rama 2,Entertainment,,,0.0,0.0
2WINTOYS,1,Central Nakhonsawan,Lifestyle & Specialty,,,0.0,0.0
2Z-CLOTHES,2,Central Ayutthaya; Central Si Racha,Fashion & Apparel,,,0.0,0.0
3 BROTHERS,5,Central Hatyai; Central Marina Outlet; Central Pattaya; Central Rama 9; Central Village Outlet,Lifestyle & Specialty,0,,0.000122,0.003674
3 GIRL MOBILE,1,Central Westgate,Technology & Electronics,,,0.0,0.0
