year,month,monthLabel,regionCode,regionName,index,change
2025,6,มิ.ย. 2568,1,ทั่วประเทศ,100.42,0.02
2025,7,ก.ค. 2568,1,ทั่วประเทศ,100.15,-0.27
2025,8,ส.ค. 2568,1,ทั่วประเทศ,100.14,-0.01
2025,9,ก.ย. 2568,1,ทั่วประเทศ,100.11,-0.03
2025,10,ต.ค. 2568,1,ทั่วประเทศ,100.0,-0.11
2025,11,พ.ย. 2568,1,ทั่วประเทศ,100.15,0.15
2025,12,ธ.ค. 2568,1,ทั่วประเทศ,100.19,0.04
2026,1,ม.ค. 2569,1,ทั่วประเทศ,99.91,-0.28
2026,2,ก.พ. 2569,1,ทั่วประเทศ,99.67,-0.24
2026,3,มี.ค. 2569,1,ทั่วประเทศ,100.27,0.6
2026,4,เม.ย. 2569,1,ทั่วประเทศ,103.03,2.75
2026,5,พ.ค. 2569,1,ทั่วประเทศ,103.2,0.17
2026,6,มิ.ย. 2569,1,ทั่วประเทศ,102.85,-0.34
2025,6,มิ.ย. 2568,10,กรุงเทพฯและปริมณฑล,100.68,0.02
2025,7,ก.ค. 2568,10,กรุงเทพฯและปริมณฑล,100.35,-0.33
2025,8,ส.ค. 2568,10,กรุงเทพฯและปริมณฑล,100.42,0.07
2025,9,ก.ย. 2568,10,กรุงเทพฯและปริมณฑล,100.43,0.01
2025,10,ต.ค. 2568,10,กรุงเทพฯและปริมณฑล,100.37,-0.06
2025,11,พ.ย. 2568,10,กรุงเทพฯและปริมณฑล,100.6,0.23
2025,12,ธ.ค. 2568,10,กรุงเทพฯและปริมณฑล,100.57,-0.03
2026,1,ม.ค. 2569,10,กรุงเทพฯและปริมณฑล,100.37,-0.2
2026,2,ก.พ. 2569,10,กรุงเทพฯและปริมณฑล,100.3,-0.07
2026,3,มี.ค. 2569,10,กรุงเทพฯและปริมณฑล,100.68,0.38
2026,4,เม.ย. 2569,10,กรุงเทพฯและปริมณฑล,103.0,2.3
2026,5,พ.ค. 2569,10,กรุงเทพฯและปริมณฑล,103.32,0.31
2026,6,มิ.ย. 2569,10,กรุงเทพฯและปริมณฑล,102.96,-0.35
2025,6,มิ.ย. 2568,2,ภาคกลาง,100.19,-0.09
2025,7,ก.ค. 2568,2,ภาคกลาง,99.8,-0.39
2025,8,ส.ค. 2568,2,ภาคกลาง,99.75,-0.05
2025,9,ก.ย. 2568,2,ภาคกลาง,99.77,0.02
2025,10,ต.ค. 2568,2,ภาคกลาง,99.68,-0.09
2025,11,พ.ย. 2568,2,ภาคกลาง,99.86,0.18
2025,12,ธ.ค. 2568,2,ภาคกลาง,99.95,0.09
2026,1,ม.ค. 2569,2,ภาคกลาง,99.63,-0.32
2026,2,ก.พ. 2569,2,ภาคกลาง,99.38,-0.25
2026,3,มี.ค. 2569,2,ภาคกลาง,100.06,0.68
2026,4,เม.ย. 2569,2,ภาคกลาง,103.1,3.04
2026,5,พ.ค. 2569,2,ภาคกลาง,103.27,0.16
2026,6,มิ.ย. 2569,2,ภาคกลาง,102.79,-0.46
2025,6,มิ.ย. 2568,3,ภาคเหนือ,100.49,0.07
2025,7,ก.ค. 2568,3,ภาคเหนือ,100.28,-0.21
2025,8,ส.ค. 2568,3,ภาคเหนือ,100.26,-0.02
2025,9,ก.ย. 2568,3,ภาคเหนือ,100.05,-0.21
2025,10,ต.ค. 2568,3,ภาคเหนือ,99.84,-0.21
2025,11,พ.ย. 2568,3,ภาคเหนือ,100.11,0.27
2025,12,ธ.ค. 2568,3,ภาคเหนือ,100.48,0.37
2026,1,ม.ค. 2569,3,ภาคเหนือ,99.79,-0.69
2026,2,ก.พ. 2569,3,ภาคเหนือ,99.35,-0.44
2026,3,มี.ค. 2569,3,ภาคเหนือ,100.02,0.67
2026,4,เม.ย. 2569,3,ภาคเหนือ,102.79,2.77
2026,5,พ.ค. 2569,3,ภาคเหนือ,102.85,0.06
2026,6,มิ.ย. 2569,3,ภาคเหนือ,102.6,-0.24
2025,6,มิ.ย. 2568,4,ภาคตะวันออกเฉียงเหนือ,100.29,0.16
2025,7,ก.ค. 2568,4,ภาคตะวันออกเฉียงเหนือ,100.12,-0.17
2025,8,ส.ค. 2568,4,ภาคตะวันออกเฉียงเหนือ,99.97,-0.15
2025,9,ก.ย. 2568,4,ภาคตะวันออกเฉียงเหนือ,99.94,-0.03
2025,10,ต.ค. 2568,4,ภาคตะวันออกเฉียงเหนือ,99.82,-0.12
2025,11,พ.ย. 2568,4,ภาคตะวันออกเฉียงเหนือ,99.78,-0.04
2025,12,ธ.ค. 2568,4,ภาคตะวันออกเฉียงเหนือ,99.88,0.1
2026,1,ม.ค. 2569,4,ภาคตะวันออกเฉียงเหนือ,99.51,-0.37
2026,2,ก.พ. 2569,4,ภาคตะวันออกเฉียงเหนือ,99.08,-0.43
2026,3,มี.ค. 2569,4,ภาคตะวันออกเฉียงเหนือ,99.7,0.63
2026,4,เม.ย. 2569,4,ภาคตะวันออกเฉียงเหนือ,102.53,2.84
2026,5,พ.ค. 2569,4,ภาคตะวันออกเฉียงเหนือ,102.67,0.14
2026,6,มิ.ย. 2569,4,ภาคตะวันออกเฉียงเหนือ,102.47,-0.19
2025,6,มิ.ย. 2568,5,ภาคใต้,100.51,0.01
2025,7,ก.ค. 2568,5,ภาคใต้,100.39,-0.12
2025,8,ส.ค. 2568,5,ภาคใต้,100.46,0.07
2025,9,ก.ย. 2568,5,ภาคใต้,100.41,-0.05
2025,10,ต.ค. 2568,5,ภาคใต้,100.25,-0.16
2025,11,พ.ย. 2568,5,ภาคใต้,100.33,0.08
2025,12,ธ.ค. 2568,5,ภาคใต้,100.03,-0.3
2026,1,ม.ค. 2569,5,ภาคใต้,100.24,0.21
2026,2,ก.พ. 2569,5,ภาคใต้,100.14,-0.1
2026,3,มี.ค. 2569,5,ภาคใต้,100.97,0.83
2026,4,เม.ย. 2569,5,ภาคใต้,104.1,3.1
2026,5,พ.ค. 2569,5,ภาคใต้,104.03,-0.07
2026,6,มิ.ย. 2569,5,ภาคใต้,103.63,-0.38
