Tenant,Eigenvector
WATSONS,0.06857726841758213
STARBUCKS COFFEE,0.0685772684175821
CAFE AMAZON,0.06808734176956922
KFC,0.06719091360182494
CROCS,0.0665765867990827
SKECHERS,0.06505482552927756
BANGKOK BANK,0.06473591610960698
GIORDANO,0.06452200894917534
AIS,0.06450233901805102
SABINA,0.06440026921613363
TRUE,0.06425096010585792
BANK OF AYUDHYA,0.06408164836642674
FUJI JAPANESE RESTAURANT,0.06397473522361558
SWENSEN'S,0.0636793461519499
HACHIBAN RAMEN,0.06303525190327279
BOOST JUICE BAR,0.06302564409380632
KASIKORN BANK,0.06275168638762048
DAIRY QUEEN,0.06265350456178627
COWAY,0.06248034718644595
BEAUTRIUM,0.06240040221503841
SIAM COMMERCIAL BANK,0.062334051409322154
YAYOI,0.06217887124228486
MK RESTAURANTS,0.061996146438235526
GOVERNMENT SAVING BANK,0.061609813196610665
POTATO CORNER,0.06149326064760173
AURORA,0.06140977312268295
UNIQLO,0.060943068868278265
SIZZLER,0.06064904569471852
YVES ROCHER,0.060631605837189316
BIG CAMERA,0.060510345107024535
KRUNG THAI BANK,0.06047663254355602
KOI THE',0.06043317835337135
BOOTS,0.060388394728117877
AUNTIE ANNE'S,0.060181814154907365
BONCHON,0.060181669915321236
TMBTHANACHAT BANK,0.05973771850768326
SHABUSHI,0.05953641303548145
CHATRAMUE,0.05816728317771344
FITFLOP,0.05804946088342688
YUEDPAO,0.05800626983266723
XIAOMI,0.058001746281523964
OPPO,0.057449316971506854
ADIDAS,0.0572778689900687
JUBILEE,0.05723764767334044
GQ,0.05659832388297591
JIB,0.05640644161394114
JASPAL,0.05633541310116374
BANANA,0.05615565982461393
HUAWEI,0.055942946344490145
GAGA,0.055343375329191605
BATA,0.05529427075280377
WACOAL,0.0552209483717347
MISTER DONUT,0.055137813864010246
CONVERSE,0.05429832074827831
MC JEANS,0.054183285524048205
BAR-B-Q PLAZA,0.053630869134513044
DYSON,0.053600344386017205
B2S,0.052879041934060386
GUESS,0.05273917792790727
