Tenant,CompositeScore,GNN_Prediction,Category
WATSONS,1.0,0.95124185,Beauty & Wellness
BEAUTRIUM,0.85549057,0.86094856,Beauty & Wellness
YVES ROCHER,0.69761443,0.7459458,Beauty & Wellness
BOOTS,0.738786,0.7379781,Beauty & Wellness
ORIENTAL PRINCESS,0.6580125,0.59602356,Beauty & Wellness
THE KLINIQUE,0.61706924,0.5677916,Beauty & Wellness
NITIPON CLINIC,0.57321274,0.5626682,Beauty & Wellness
MATSUKIYO,0.5550428,0.51079464,Beauty & Wellness
SEECHA,0.4472978,0.48649734,Beauty & Wellness
JOURNAL,0.44358647,0.48476955,Beauty & Wellness
THE FACE SHOP,0.54720795,0.4663203,Beauty & Wellness
GANGNAM CLINIC,0.5009137,0.4610055,Beauty & Wellness
CUTE PRESS,0.49775434,0.4563753,Beauty & Wellness
ROMRAWIN CLINIC,0.32578358,0.4055017,Beauty & Wellness
APEX,0.3440971,0.38604158,Beauty & Wellness
BATH&BODY WORKS,0.3621256,0.3709071,Beauty & Wellness
DR.PONG,0.27556637,0.31960848,Beauty & Wellness
PORNKASEM CLINIC,0.2764037,0.3052247,Beauty & Wellness
CUT & CURL,0.21376164,0.28636497,Beauty & Wellness
URANUS CLINIC,0.36904323,0.28432888,Beauty & Wellness
PINNARA,0.24582893,0.26681152,Beauty & Wellness
LABX,0.22474085,0.25541595,Beauty & Wellness
B SA B,0.2098314,0.2535261,Beauty & Wellness
TO B 1 HAIR STATION,0.23301348,0.2201089,Beauty & Wellness
REUNROM,0.14665286,0.21490166,Beauty & Wellness
LUMIA,0.21726802,0.20166934,Beauty & Wellness
RITUALS,0.16599956,0.19579758,Beauty & Wellness
V SQUARE CLINIC,0.12345975,0.19218236,Beauty & Wellness
INFINITY MEDICAL CLINIC,0.19816527,0.19120741,Beauty & Wellness
MITH,0.15965316,0.16951159,Beauty & Wellness
BUTTERFLY THAI PERFUME,0.33179685,0.16469502,Beauty & Wellness
@FEELING BRAND,0.118942514,0.16451049,Beauty & Wellness
The Herbaholic's,0.118942514,0.16451049,Beauty & Wellness
SAWADEE,0.1357674,0.16128306,Beauty & Wellness
BATH&BLOOM,0.14057979,0.16085209,Beauty & Wellness
AQUA COSMETICS,0.19017415,0.15683366,Beauty & Wellness
SEPHORA,0.13987957,0.15567689,Beauty & Wellness
TYMESCENTS,0.00071011874,0.15234599,Beauty & Wellness
DONTRUSH,0.00071011874,0.15234599,Beauty & Wellness
PANPURI,0.15715748,0.15157264,Beauty & Wellness
YUGEN,0.1327864,0.1394091,Beauty & Wellness
ANONA,0.1168856,0.1390168,Beauty & Wellness
P&F,0.10332942,0.13781555,Beauty & Wellness
TROPICANA,0.10310416,0.13590094,Beauty & Wellness
SABAI AROM,0.10310416,0.13590094,Beauty & Wellness
JUNG SAEM MOOL,0.1917867,0.13476366,Beauty & Wellness
WILITSAMARA,0.08730753,0.1337454,Beauty & Wellness
Feelfin Thailand,0.08498837,0.1315878,Beauty & Wellness
Ayatana,0.10580989,0.13083649,Beauty & Wellness
TUMRABTHAI,0.12072628,0.12931892,Beauty & Wellness
22TWENTYTWO.STUDIO,0.07209441,0.12372883,Beauty & Wellness
ORIGANI,0.1060783,0.116760656,Beauty & Wellness
VICTORIA SECRET BEAUTY,0.08085477,0.11510211,Beauty & Wellness
DIOR BACKSTAGE/DIOR,0.11092125,0.114496216,Beauty & Wellness
COSMOS & HARMONY,0.1019099,0.10964672,Beauty & Wellness
HARNN,0.09897551,0.10530332,Beauty & Wellness
BEAUTY BUFFET,0.11023123,0.10362869,Beauty & Wellness
AGLAM,0.06824929,0.10354617,Beauty & Wellness
Terra Pafe By Goodly,0.059885886,0.10300473,Beauty & Wellness
SAISALANG,0.061224245,0.100362465,Beauty & Wellness
LAGRACE CLINIC,0.301408,0.09639823,Beauty & Wellness
OPATRA,0.08331333,0.09581216,Beauty & Wellness
AES CLASS CLINIC,0.11779221,0.09515065,Beauty & Wellness
TOPS CARE,0.11039581,0.09390667,Beauty & Wellness
LUXORA'S PERFUME,0.09532422,0.09387786,Beauty & Wellness
BOTANIFIQUE,0.06990691,0.09207214,Beauty & Wellness
KARMART,0.09760352,0.084971994,Beauty & Wellness
SIAM LASER CLINIC,0.07451227,0.08298503,Beauty & Wellness
MALYA Perfume house,0.076709405,0.077536404,Beauty & Wellness
DESTINY CLINIC,0.069075406,0.072930574,Beauty & Wellness
I LOVE MYSKIN,0.070918515,0.07167156,Beauty & Wellness
CHAANG OCARINA&POTERY,0.061081003,0.07078781,Beauty & Wellness
BONAGE,0.054456428,0.070647456,Beauty & Wellness
NAIL CLUB,0.09377283,0.06608187,Beauty & Wellness
DR.SMOOTH LIFE,0.05242206,0.06489524,Beauty & Wellness
ANASTASIA MIARAY,0.06131329,0.06290288,Beauty & Wellness
SLIM UP CENTER,0.048539083,0.062426284,Beauty & Wellness
Aura Bangkok Clinic,0.06391196,0.061962154,Beauty & Wellness
BALMY INHALER,0.021163957,0.061731264,Beauty & Wellness
LAB LIBRARY,0.06649784,0.05803989,Beauty & Wellness
SMELL LEMONGRASS,0.06317819,0.054869894,Beauty & Wellness
NAIL IT,0.06088255,0.054631595,Beauty & Wellness
