Tenant,CompositeScore,GNN_Prediction,Category
Central Department Store,0.50432396,0.49381924,Central Department Store
SAMSONITE,0.4369049,0.4480233,Central Department Store
LOCKNLOCK,0.33682612,0.39322686,Central Department Store
ZOJIRUSHI,0.31035832,0.3807362,Central Department Store
NESPRESSO,0.2922419,0.36052915,Central Department Store
ISSEY MIYAKE,0.2831706,0.35228455,Central Department Store
SFERA,0.28793043,0.34584805,Central Department Store
NARS,0.29610163,0.33968896,Central Department Store
KEED,0.28372625,0.33896938,Central Department Store
HANKY HOUSE,0.42318556,0.33551374,Central Department Store
CHANEL,0.29986063,0.3277271,Central Department Store
ALBEDO,0.25857353,0.32692277,Central Department Store
WISHER TOY,0.27041063,0.32582062,Central Department Store
CLAUDIAS ROMANCE,0.27041063,0.3258206,Central Department Store
SULWHASOO,0.25713342,0.32259554,Central Department Store
BARBIE,0.24591917,0.32231572,Central Department Store
DISNEY BABIES,0.24591917,0.32231572,Central Department Store
MELISSA & DOUG,0.24591917,0.32231572,Central Department Store
KHAKI BROS,0.27078572,0.3206361,Central Department Store
UNDERGEAR,0.25554729,0.31666568,Central Department Store
BWELL,0.24613467,0.31427065,Central Department Store
YSL,0.26059183,0.31347868,Central Department Store
JOIE,0.2230851,0.30723736,Central Department Store
MATTEL,0.22755681,0.3065168,Central Department Store
SAMSONITE RED,0.2391991,0.3060144,Central Department Store
KS KIDS,0.29132277,0.30497265,Central Department Store
KARDINA ANDRIA,0.2701027,0.30483472,Central Department Store
NARCISO RODRIGUEZ,0.23396158,0.30302697,Central Department Store
ALUMNUS WOMEN,0.25672796,0.29867283,Central Department Store
MERRIES,0.25644717,0.29855934,Central Department Store
FULICO,0.25905964,0.29600558,Central Department Store
NEW ERA,0.28140798,0.2928818,Central Department Store
CLAUDIA KLEID BLACK&WHITE,0.23679145,0.2913071,Central Department Store
SQUISHMALLOWS,0.24377851,0.29126552,Central Department Store
DICKIE TOYS,0.26214206,0.29033062,Central Department Store
PLARAIL,0.2056487,0.28979245,Central Department Store
SISLEY,0.2106141,0.28807047,Central Department Store
BRIGHT STARTS,0.21020557,0.2880288,Central Department Store
EASY PIECES,0.28137133,0.28584036,Central Department Store
TOMMY HILFIGER,0.3046424,0.28546855,Central Department Store
LOJEL,0.22940406,0.28194562,Central Department Store
AMOR,0.19421978,0.27965668,Central Department Store
GIORGIO ARMANI,0.21380097,0.27919158,Central Department Store
SO SMOOCHIE,0.21505839,0.2789078,Central Department Store
CLAUDIA KLEID,0.22423181,0.27718014,Central Department Store
SHEER BLISS,0.21334511,0.27699468,Central Department Store
ALUMNUS,0.22024867,0.27649635,Central Department Store
TORY BURCH,0.25948316,0.27549192,Central Department Store
MARKS & SPENCER,0.2183903,0.27486557,Central Department Store
ZWILLING,0.21368706,0.27435145,Central Department Store
TISSOT,0.3102378,0.27265543,Central Department Store
CLOVER,0.18168402,0.27136013,Central Department Store
DOLCE GABBANA,0.19923227,0.27024046,Central Department Store
DISNEY,0.19997692,0.26868477,Central Department Store
BABY FANTASY,0.210835,0.26362884,Central Department Store
KAMIMURA,0.231076,0.2631555,Central Department Store
LUCARIS,0.19377352,0.26293066,Central Department Store
QUIKSILVER,0.21136962,0.26244554,Central Department Store
SUNGLASS HUT,0.2028871,0.25915262,Central Department Store
SKIPHOP,0.20951308,0.25291052,Central Department Store
BABY EINSTEIN,0.19148554,0.24923797,Central Department Store
TAKE TOYS,0.20762332,0.24670044,Central Department Store
CHAMPION,0.31277195,0.24539042,Central Department Store
ORIGINS,0.17931965,0.24512932,Central Department Store
LIYA,0.21316862,0.2431143,Central Department Store
PLAYDOH HASBRO KIDDO,0.18219723,0.24097124,Central Department Store
PULCINELLA,0.18071324,0.24074075,Central Department Store
DISNEY TAKETOYS,0.19315843,0.238534,Central Department Store
JELLYCAT,0.15980066,0.23852545,Central Department Store
PAUL FRANK,0.22063017,0.23711303,Central Department Store
PATRA,0.17066541,0.23652056,Central Department Store
GIAN FERRENTE,0.17380299,0.23565696,Central Department Store
LUIGI BATANI,0.19670354,0.23532492,Central Department Store
MINIMEX,0.23516093,0.23482236,Central Department Store
MOSHI AVA,0.18284711,0.23319775,Central Department Store
JOSEPH,0.1860098,0.23298478,Central Department Store
KINDEE,0.16362576,0.23141637,Central Department Store
LAMOON,0.16219172,0.23088405,Central Department Store
TIGER,0.1678627,0.23088187,Central Department Store
