Tenant,CompositeScore,GNN_Prediction,Category
MAJOR CINEPLEX,0.34673572,0.32791674,Entertainment
FUN CITY,0.3050473,0.27812123,Entertainment
SF CINEMA,0.57426524,0.27559638,Entertainment
YAMAHA MUSIC SCHOOL,0.2293507,0.26491657,Entertainment
JOYLIDAY PLUS,0.26089615,0.21336824,Entertainment
FITNESS FIRST,0.17178668,0.20060611,Entertainment
CURIOO KIDS,0.22278689,0.1827398,Entertainment
KAWAI MUSIC SCHOOL,0.14003739,0.18190861,Entertainment
BABIES GENIUS,0.1300297,0.17187406,Entertainment
YUMEYA,0.32747707,0.16102345,Entertainment
POP MART,0.13777876,0.1491169,Entertainment
MUSIC COLLECTION,0.10857836,0.13476744,Entertainment
SOUND CHECK KARAOKE,0.13854492,0.13277033,Entertainment
MOPLAY,0.12003072,0.1239896,Entertainment
KIDZOOONA,0.11744221,0.09700337,Entertainment
HARBOR LAND,0.093742006,0.093427256,Entertainment
CLICKROBOT,0.08646947,0.08971889,Entertainment
Vocalize Singing Academy,0.0963803,0.086324036,Entertainment
MATH TALENT BY DR. YING,0.115121365,0.086280316,Entertainment
LEGO CERTIFIED STORE,0.076758504,0.083581336,Entertainment
KUMON,0.076301634,0.082636364,Entertainment
CURIOO KIDS LANGUAGE SCHOOL,0.08699492,0.082449295,Entertainment
สถาบันสอนภาษาและคอมพิวเตอร์ อีซีซี,0.045676436,0.075260304,Entertainment
JETTS 24 HOUR FITNESS,0.100773446,0.069894865,Entertainment
Kongthong 88,0.068045355,0.06901249,Entertainment
CLAY WORKS,0.07098205,0.06727861,Entertainment
Melody Karaoke,0.035041638,0.05344288,Entertainment
INLINGUA,0.03759328,0.04961163,Entertainment
WALL STREET ENGLISH,0.033749864,0.045668922,Entertainment
HIT GALLERIA,0.02064019,0.0347742,Entertainment
SHANE ENGLISH SCHOOL,0.027615365,0.033909675,Entertainment
E-QUIP,0.028474579,0.032409977,Entertainment
WALL STREET,0.021021202,0.030969411,Entertainment
BOARD GAME EVERYDAY CAFE,0.014048511,0.030307345,Entertainment
CURIOO,0.01537811,0.028898954,Entertainment
PAINT N PLAY,0.023048902,0.026545987,Entertainment
CHOI'S TAEKWONDO,0.0064084567,0.020307086,Entertainment
KUMO CREATIVE STUDIO BY CLAYWORKS,0.0064084567,0.020307086,Entertainment
TOYS R US,0.009275857,0.018436223,Entertainment
CN WONDERLAND,0.019612337,0.015385181,Entertainment
VIRGIN ACTIVE HEALTH CLUBS,0.010756142,0.015111402,Entertainment
LITTLE TOYS,0.0046272557,0.01439872,Entertainment
PLAY SOUND,0.0031262417,0.008628789,Entertainment
SFX CINEMA,0.0044656703,0.008085333,Entertainment
BOOMERANG,0.0041861325,0.0069358125,Entertainment
MIZUNO,0.0012622532,0.00555747,Entertainment
