Tenant,CompositeScore,GNN_Prediction,Category
CROCS,0.96517956,0.9158102,Fashion & Apparel
SKECHERS,0.81880486,0.8425369,Fashion & Apparel
UNIQLO,0.82629025,0.7828752,Fashion & Apparel
AURORA,0.75458175,0.76551616,Fashion & Apparel
SABINA,0.80288506,0.7618784,Fashion & Apparel
ADIDAS,0.81194705,0.7597127,Fashion & Apparel
YUEDPAO,0.7261157,0.7260933,Fashion & Apparel
BATA,0.6916376,0.66117215,Fashion & Apparel
GQ,0.649032,0.6283364,Fashion & Apparel
JASPAL,0.63737655,0.6282394,Fashion & Apparel
PANDORA,0.5677748,0.6074208,Fashion & Apparel
G-SHOCK CASIO,0.59934235,0.6043215,Fashion & Apparel
CC-OO,0.645716,0.59594536,Fashion & Apparel
LYN,0.63321465,0.58286047,Fashion & Apparel
MC JEANS,0.5939438,0.5647814,Fashion & Apparel
NEW BALANCE,0.48670653,0.50787055,Fashion & Apparel
CHARLES & KEITH,0.5146191,0.5007416,Fashion & Apparel
LYN AROUND,0.5335064,0.49928993,Fashion & Apparel
WITH IT,0.4950873,0.48859724,Fashion & Apparel
PRADAP,0.4831875,0.48471954,Fashion & Apparel
SUPERSPORTS,0.5743234,0.48461756,Fashion & Apparel
JELLY BUNNY,0.4706869,0.46714142,Fashion & Apparel
LEVI'S,0.47685754,0.44229287,Fashion & Apparel
KIPLING,0.39845893,0.43951064,Fashion & Apparel
HAVAIANAS,0.4033421,0.43890145,Fashion & Apparel
SHU,0.37534505,0.4205201,Fashion & Apparel
CPS CHAPS,0.41016132,0.41368195,Fashion & Apparel
MOTTA,0.55880386,0.40898794,Fashion & Apparel
BODY GLOVE,0.57099146,0.40712777,Fashion & Apparel
ห้างทองหวังโต๊ะกังเยาวราช,0.44453532,0.38981068,Fashion & Apparel
NATURE,0.2855548,0.37061813,Fashion & Apparel
ASICS,0.36321267,0.36947438,Fashion & Apparel
PROMTHONG,0.29686505,0.35687009,Fashion & Apparel
MIDO,0.307093,0.35070255,Fashion & Apparel
BANGKOK GOLDS,0.43671668,0.35039526,Fashion & Apparel
RIP CURL,0.3320068,0.34906155,Fashion & Apparel
GENTLEWOMAN,0.334317,0.34672204,Fashion & Apparel
LOOKER,0.43912876,0.34380266,Fashion & Apparel
ROYAL IVY REGATTA,0.27713406,0.34097698,Fashion & Apparel
JEWELLISTA,0.30415908,0.33258647,Fashion & Apparel
