Tenant,CompositeScore,GNN_Prediction,Category
STARBUCKS COFFEE,1.0,0.95124185,Food & Beverage
CAFE AMAZON,0.8943146,0.87661827,Food & Beverage
KFC,0.9053599,0.85132146,Food & Beverage
BOOST JUICE BAR,0.8414227,0.83897924,Food & Beverage
KOI THE',0.8487632,0.8359324,Food & Beverage
POTATO CORNER,0.8001117,0.8216696,Food & Beverage
SWENSEN'S,0.7319699,0.81626034,Food & Beverage
FUJI JAPANESE RESTAURANT,0.75194454,0.7985078,Food & Beverage
DAIRY QUEEN,0.72706085,0.7809186,Food & Beverage
BONCHON,0.7200157,0.7690121,Food & Beverage
AUNTIE ANNE'S,0.7434756,0.76789093,Food & Beverage
SIZZLER,0.67493105,0.75852704,Food & Beverage
ฮะจิบัง ราเมน,0.708455,0.7510581,Food & Beverage
MK RESTAURANTS,0.73095995,0.74002755,Food & Beverage
YAYOI,0.6917377,0.7247584,Food & Beverage
SHABUSHI / ชาบูชิ,0.70811146,0.7047683,Food & Beverage
MISTER DONUT,0.69719774,0.6764828,Food & Beverage
BAR-B-Q PLAZA,0.7236464,0.66366327,Food & Beverage
GAGA,0.61508447,0.640327,Food & Beverage
AKA,0.67073095,0.618168,Food & Beverage
BEARHOUSE,0.5492206,0.5280075,Food & Beverage
ลาวญวน,0.5996259,0.5267407,Food & Beverage
ชาตรามือ,0.60410994,0.524992,Food & Beverage
FUKU MATCHA,0.508723,0.49458188,Food & Beverage
YOGURUTO,0.47540042,0.49098304,Food & Beverage
KRISPY KREME,0.5042487,0.48993117,Food & Beverage
THE PIZZA COMPANY,0.5235465,0.48837358,Food & Beverage
WHITE STORY,0.5601498,0.48827487,Food & Beverage
KATSUYA,0.46808162,0.48073325,Food & Beverage
OOTOYA,0.40687168,0.47992927,Food & Beverage
MIXUE,0.52055544,0.47416422,Food & Beverage
PEPPER LUNCH,0.4648904,0.45853934,Food & Beverage
SOURI,0.42212808,0.44013593,Food & Beverage
YAMAZAKI,0.51638097,0.42621586,Food & Beverage
MO-MO-PARADISE,0.39571527,0.42259917,Food & Beverage
แหลมเจริญูซีฟู้ด,0.37578267,0.4103638,Food & Beverage
COCO ICHIBANYA,0.32660028,0.4047296,Food & Beverage
SUSHIRO,0.3182555,0.36889324,Food & Beverage
MOLTO,0.29004234,0.3464418,Food & Beverage
OLINO CREPE & TEA,0.3235649,0.34337133,Food & Beverage
ON THE TABLE,0.2964756,0.34294605,Food & Beverage
ก๋วยเตี๋ยวเรือพระนคร,0.3588717,0.33644953,Food & Beverage
BREADTALK,0.2787255,0.31300166,Food & Beverage
ONE TO TWO COFFEE,0.21514131,0.28752717,Food & Beverage
Nose Tea,0.21597832,0.28749648,Food & Beverage
BOON TONG KEE,0.26643997,0.28738156,Food & Beverage
ปังสยาม,0.23989995,0.28706446,Food & Beverage
CHONGDEE TEAHOUSE,0.21099342,0.28438437,Food & Beverage
JONES' SALAD,0.22102252,0.28056234,Food & Beverage
Junenycandy,0.20408632,0.2790138,Food & Beverage
SAEMAEUL,0.19648781,0.27729103,Food & Beverage
CHESTER'S,0.31929109,0.2754873,Food & Beverage
AFTER YOU,0.318038,0.27138296,Food & Beverage
HUA SENG HONG,0.19976547,0.26208693,Food & Beverage
S&P,0.25480533,0.26192296,Food & Beverage
คำพูน,0.5115475,0.25757223,Food & Beverage
YAKINIKU LIKE,0.19507296,0.24856868,Food & Beverage
JIAN CHA,0.31001455,0.24750316,Food & Beverage
ZEN JAPANESE RESTAURANT,0.3187718,0.2418361,Food & Beverage
SANTAFE',0.24420512,0.24116215,Food & Beverage
BONJOUR,0.21099488,0.23826663,Food & Beverage
กาแฟพันธุ์ไทย,0.36478737,0.2335612,Food & Beverage
