Tenant,CompositeScore,GNN_Prediction,Category
COWAY,0.7229913,0.7980021,Lifestyle & Specialty
MOSHI MOSHI,0.69823045,0.64228094,Lifestyle & Specialty
B2S,0.7922508,0.63226914,Lifestyle & Specialty
TPARTNER,0.54702353,0.50486267,Lifestyle & Specialty
DAISO,0.47251427,0.48824757,Lifestyle & Specialty
LEMONY,0.5682548,0.46915957,Lifestyle & Specialty
Future Living,0.34258822,0.40446833,Lifestyle & Specialty
MUJI,0.37634468,0.40323105,Lifestyle & Specialty
OFFICE MATE,0.30898544,0.3687558,Lifestyle & Specialty
SE-ED BOOK CENTER,0.32278478,0.34358668,Lifestyle & Specialty
MR.D.I.Y.,0.40363646,0.3379699,Lifestyle & Specialty
ASIA BOOKS,0.44738775,0.29044527,Lifestyle & Specialty
ERGOTREND,0.14455502,0.19481564,Lifestyle & Specialty
Bringhome thebacon,0.13588443,0.1810044,Lifestyle & Specialty
Holen,0.17824402,0.17666355,Lifestyle & Specialty
MINISO,0.14783569,0.17521918,Lifestyle & Specialty
PAHKAHMAH THAILAND,0.118942514,0.16451049,Lifestyle & Specialty
HUG CRAFT,0.118942514,0.16451049,Lifestyle & Specialty
JIM THOMPSON,0.16240339,0.16162735,Lifestyle & Specialty
YAAKZ SHOP,0.19009815,0.1578309,Lifestyle & Specialty
SOUL SENSE,0.10876892,0.15663663,Lifestyle & Specialty
AMAXS,0.31206673,0.1553962,Lifestyle & Specialty
NANA JITTANG,0.00071011874,0.15234599,Lifestyle & Specialty
FLUFFLY OMELET,0.00071011874,0.15234599,Lifestyle & Specialty
SUDJAI,0.1222366,0.13542034,Lifestyle & Specialty
Postcardcube,0.08498837,0.1315878,Lifestyle & Specialty
VERRA,0.109411806,0.122628085,Lifestyle & Specialty
RESTER CHAIR,0.09147746,0.11685811,Lifestyle & Specialty
PHOENIX NEXT,0.13336895,0.11167841,Lifestyle & Specialty
SIHOO ERGONOMIC,0.08404789,0.11031749,Lifestyle & Specialty
PAPAYAYA THAI,0.1019099,0.10964672,Lifestyle & Specialty
Dawood Voyagel Travel,0.07449848,0.106261,Lifestyle & Specialty
PET 'N ME,0.07685034,0.10622834,Lifestyle & Specialty
BEWELL,0.087798774,0.099123456,Lifestyle & Specialty
Yale Smart Shop,0.06425597,0.096042424,Lifestyle & Specialty
LAMY,0.057627857,0.092924125,Lifestyle & Specialty
OKsis,0.036284022,0.08746303,Lifestyle & Specialty
SANDT,0.054390915,0.08740427,Lifestyle & Specialty
PETKIT,0.09045056,0.08495839,Lifestyle & Specialty
Siam2go,0.08737843,0.080929905,Lifestyle & Specialty
ร้านนายอินทร์,0.05258793,0.07147617,Lifestyle & Specialty
COSSMOSS,0.10241927,0.06889433,Lifestyle & Specialty
KKV,0.053199787,0.06848244,Lifestyle & Specialty
NITORI,0.07340538,0.067510754,Lifestyle & Specialty
LASSIE DECOR,0.071633354,0.06689875,Lifestyle & Specialty
Luxury หมอนโรงแรม 6 ดาว,0.04819074,0.065909155,Lifestyle & Specialty
Seagull,0.10928975,0.0653954,Lifestyle & Specialty
SEEK 'N KEEP CLUB,0.06131329,0.06290288,Lifestyle & Specialty
3 BROTHERS,0.056794,0.058584064,Lifestyle & Specialty
MIKI MIKI STORE,0.04624132,0.057415325,Lifestyle & Specialty
KAMIKA,0.06903175,0.053929295,Lifestyle & Specialty
MI.NA.TA & FRIENDS,0.055418853,0.053413823,Lifestyle & Specialty
PET LOVERS CENTRE,0.04316961,0.040222246,Lifestyle & Specialty
HQ SPORTS & TRAVEL,0.048842028,0.039849613,Lifestyle & Specialty
OUTDOOR BOTANICA BY ELEMENT 72,0.035008777,0.03293413,Lifestyle & Specialty
STANLEY,0.003614631,0.032834016,Lifestyle & Specialty
ROBINSON,0.032814268,0.032082498,Lifestyle & Specialty
BAAN & BEYOND,0.04131647,0.02583643,Lifestyle & Specialty
MAKOTO AND MISTER ROBOT,0.020099541,0.025743432,Lifestyle & Specialty
LORPOR,0.008926994,0.020544272,Lifestyle & Specialty
LUXURYหมอนโรงแรม6ดาว,0.01235013,0.018219415,Lifestyle & Specialty
LAMUN,0.003434652,0.017142422,Lifestyle & Specialty
BEARBRICK,0.0032343005,0.015441738,Lifestyle & Specialty
BAGGAGE LUGGAGE,0.021150818,0.014446814,Lifestyle & Specialty
SIAM MAGNET,0.016010875,0.009151652,Lifestyle & Specialty
เซนทาร่า วิลล์,0.013092786,0.008459855,Lifestyle & Specialty
NARAYA,0.0009837204,0.004148867,Lifestyle & Specialty
