Tenant,CompositeScore,GNN_Prediction,Category
LEMO,0.7815586,0.63389874,Other
Human Charger,0.42744908,0.23020439,Other
กายะจิต,0.24466679,0.22187477,Other
ELEPH,0.18286072,0.19585043,Other
Rojwasin Illustration,0.16523466,0.18989287,Other
AKKARA BANGKOK,0.4146416,0.18855053,Other
DECEMBOY,0.092917636,0.17351761,Other
Zodia,0.118942514,0.16451049,Other
Thonglor Art Village,0.15399118,0.16272303,Other
CARISA,0.00071011874,0.15234599,Other
Siamphuthai,0.113599606,0.13797195,Other
TAITIER SOAP,0.11413695,0.13797195,Other
SIAMMAGNET,0.10310416,0.13590094,Other
NINLANON COLLECTIBLES,0.08498837,0.1315878,Other
PACHARA,0.08498837,0.1315878,Other
CLOUD 9,0.124764614,0.12661709,Other
ดวงเศรษฐี,0.114809,0.12076012,Other
THE ARTIST COLLECTION2,0.07163309,0.120493665,Other
สำนักงานหนังสือเดินทาง,0.117581934,0.11949723,Other
REST N GO,0.125267,0.11436597,Other
Mahanakhonbkk,0.09360287,0.11390635,Other
RECYCLE DAY,0.15155257,0.10970512,Other
D THAILAND,0.1019099,0.10964672,Other
NALANNS CRAFTS,0.048742,0.10637523,Other
Have A Hug Studio,0.07449848,0.106261,Other
DRESS PRODUCTION,0.058191836,0.10487949,Other
CALIIICO SHOP,0.036732703,0.09459252,Other
COCO SUI.BKK,0.06830655,0.08713667,Other
AUGUST TOYS,0.07899026,0.07392417,Other
Bkkayy,0.023690345,0.06890001,Other
BUAKAWGALLERY,0.016833628,0.057359215,Other
RESTER,0.03676855,0.05080346,Other
HOUSE OF THAILAND,0.011243266,0.04652608,Other
เก้าอี้นวด เอสเคเอส,0.048226945,0.043358807,Other
JONGJAROEN,0.0035988651,0.03419605,Other
PLERNJAI,0.0035988651,0.03419605,Other
นวดน้า,0.027957935,0.034022104,Other
GOVERNMENT CENTER,0.017077822,0.02584692,Other
KAYAJIT,0.019835038,0.023983449,Other
OCYCO,0.0032125982,0.013819333,Other
CANDY LAND,0.021229615,0.013581917,Other
REST N GO เก้าอี้นวด,0.0067825587,0.00988394,Other
KROTON,0.016740767,0.007891566,Other
NXN TECHNOLOGY,0.003911233,0.0060897246,Other
MINIBOX LOCKER,0.0018984728,0.00550225,Other
