Tenant,CompositeScore,GNN_Prediction,Category
GIORDANO,0.7596573,0.7857344,Robinson Department Store
DYSON,0.660271,0.6492599,Robinson Department Store
LACOSTE,0.68976164,0.6416924,Robinson Department Store
FITFLOP,0.6315649,0.6237345,Robinson Department Store
JUBILEE,0.5849142,0.61892426,Robinson Department Store
CONVERSE,0.54956746,0.5885109,Robinson Department Store
GARMIN,0.54518914,0.573141,Robinson Department Store
WACOAL,0.60137886,0.5690892,Robinson Department Store
HUSH PUPPIES,0.5068146,0.54787827,Robinson Department Store
GUESS,0.5357007,0.5349145,Robinson Department Store
WRANGLER,0.48318586,0.51552224,Robinson Department Store
CALVIN KLEIN,0.4973207,0.5142907,Robinson Department Store
LEE,0.47134748,0.50848687,Robinson Department Store
ANELLO,0.4410626,0.48605275,Robinson Department Store
FILA,0.46144143,0.48405328,Robinson Department Store
ARROW,0.41907787,0.47126567,Robinson Department Store
NIKE,0.43024155,0.46875945,Robinson Department Store
G2000,0.406364,0.46247497,Robinson Department Store
LANCOME,0.4084188,0.4602411,Robinson Department Store
AMERICAN TOURISTER,0.41242123,0.45662615,Robinson Department Store
GUY LAROCHE,0.42119277,0.45640135,Robinson Department Store
PLAYBOY,0.49078646,0.45169628,Robinson Department Store
LEGO,0.3921793,0.44007295,Robinson Department Store
ADIDAS KIDS,0.39372793,0.4331327,Robinson Department Store
CHERILON,0.38996595,0.43127105,Robinson Department Store
HEAVY,0.35425243,0.43069515,Robinson Department Store
CAMERA,0.335659,0.42259774,Robinson Department Store
PIERRE CARDIN,0.36006823,0.42144957,Robinson Department Store
SANTAS,0.36006823,0.42144957,Robinson Department Store
SANRIO,0.38750547,0.4208355,Robinson Department Store
AIIZ,0.46206132,0.41726658,Robinson Department Store
JOCKEY,0.36134303,0.41608414,Robinson Department Store
ENFANT,0.36134303,0.41608414,Robinson Department Store
FROLINA,0.3608057,0.41608414,Robinson Department Store
HOTWHEELS,0.3608057,0.41608414,Robinson Department Store
TRIUMPH,0.3608057,0.41608414,Robinson Department Store
JOHN HENRY,0.3608057,0.41608414,Robinson Department Store
PUREEN,0.3608057,0.4160841,Robinson Department Store
POLO CLUB,0.3608057,0.4160841,Robinson Department Store
PHILIPS,0.3608057,0.4160841,Robinson Department Store
PUMA,0.4327035,0.41018036,Robinson Department Store
JOHN LANGFORD,0.3451954,0.40732995,Robinson Department Store
TOMICA,0.34140095,0.40729252,Robinson Department Store
CHOLE,0.34140095,0.40729252,Robinson Department Store
ELLE,0.34140095,0.40729252,Robinson Department Store
SMIGGLE,0.3419383,0.40729252,Robinson Department Store
