Tenant,CompositeScore,GNN_Prediction,Category
OWNDAYS,0.63720214,0.5942278,Services & Education
BETTER VISION,0.68597364,0.5837412,Services & Education
BKK DIAMOND,0.6044427,0.5793512,Services & Education
PRO CLEAN,0.46464694,0.45779338,Services & Education
FIXIFOOT,0.40173364,0.42337078,Services & Education
EYE CLASS,0.44075605,0.40247548,Services & Education
OPTIC SQUARE,0.3047162,0.37196955,Services & Education
POLI-CHEM,0.40499207,0.33110097,Services & Education
KT OPTIC,0.39434204,0.29400018,Services & Education
OPTICAL 88,0.20756166,0.23709193,Services & Education
AUTO 1,0.2017349,0.19874303,Services & Education
ร้านไปรษณีย์ไทย,0.24722567,0.1862917,Services & Education
EYE LAB,0.18910675,0.18162382,Services & Education
LUXOPTIC,0.2437758,0.16639996,Services & Education
MISSLENS,0.15005252,0.1585337,Services & Education
PHOTOISM,0.11382189,0.14183587,Services & Education
TIME CLINIC,0.16877191,0.13038972,Services & Education
ASA SERIVCES,0.17197788,0.12566519,Services & Education
J&T EXPRESS,0.15669902,0.122199245,Services & Education
EXPERT WATCH,0.13876724,0.11069059,Services & Education
Hugcraft Shopping bag,0.1019099,0.10964672,Services & Education
LENS & TIME,0.0771032,0.10497487,Services & Education
S&S TIME SERVICE,0.07147641,0.09666157,Services & Education
EYE LAB EXCLUSIVE,0.05360143,0.090010606,Services & Education
Better Vision x TRSC,0.10872177,0.08825184,Services & Education
SOLESO,0.085071534,0.084689304,Services & Education
OTTERI WASH & DRY,0.109154165,0.083799474,Services & Education
FEEL YOUTH,0.057688475,0.06880669,Services & Education
DHL EXPRESS,0.07204731,0.06768364,Services & Education
KRO TRON,0.0670648,0.06493869,Services & Education
TG EXPRESS,0.09330121,0.06412596,Services & Education
PROMAN,0.038236734,0.0628575,Services & Education
SNAP SENSE,0.045297664,0.061357807,Services & Education
สลากเศรษฐี,0.03713837,0.05848496,Services & Education
MISTER EYES,0.06584186,0.054057006,Services & Education
สลากกินแบ่งรัฐบาล,0.029360784,0.053514205,Services & Education
LENSKART,0.032047786,0.047394816,Services & Education
HARU FILM,0.03442086,0.04606153,Services & Education
MOMOKO,0.054703332,0.041928843,Services & Education
ไปรษณีย์ไทย,0.040527165,0.037310787,Services & Education
T.TIME,0.035317365,0.035185583,Services & Education
Photovibes,0.045203067,0.034912605,Services & Education
KAEJI99,0.02064019,0.0347742,Services & Education
GOVERNMENT COUNTER SERVICE,0.026625091,0.030299097,Services & Education
WONDER PHOTO SHOP,0.022826232,0.02051774,Services & Education
KEY & SHOES SERVICE,0.019180961,0.01661091,Services & Education
FOTOBOOTH,0.022114133,0.015643217,Services & Education
Eco Ring บริการรับซื้อสินค้า,0.009648597,0.015416529,Services & Education
LOTTERY,0.009848656,0.014759533,Services & Education
หอแว่น,0.01785162,0.0132428,Services & Education
PIM@POST,0.008135126,0.01309669,Services & Education
RE IT,0.0037003707,0.010091495,Services & Education
MR. BAG FIX,0.007814518,0.009805378,Services & Education
VAN SERVICE,0.008336094,0.009368334,Services & Education
ซินไฉฮั้ว,0.0028214003,0.008325007,Services & Education
