Tenant,CompositeScore,GNN_Prediction,Category
AIS,0.74846166,0.8152838,Technology & Electronics
TRUE,0.73060983,0.8125452,Technology & Electronics
XIAOMI,0.8584579,0.80965495,Technology & Electronics
OPPO,0.77976114,0.78148746,Technology & Electronics
BANANA,0.8693096,0.7814113,Technology & Electronics
JIB,0.84110457,0.7731006,Technology & Electronics
BIG CAMERA,0.72380465,0.763842,Technology & Electronics
HUAWEI,0.7293211,0.7591479,Technology & Electronics
POWER BUY,0.69597965,0.6392331,Technology & Electronics
JAY MART,0.5641533,0.5667938,Technology & Electronics
TG FONE,0.77608186,0.543064,Technology & Electronics
VIVO,0.5027045,0.48153585,Technology & Electronics
IT CITY,0.4680788,0.4668084,Technology & Electronics
SAMSUNG,0.48880887,0.41328904,Technology & Electronics
MAKOTO,0.40049413,0.3788813,Technology & Electronics
I STUDIO,0.42264074,0.36592758,Technology & Electronics
UIH,0.4035756,0.35717326,Technology & Electronics
DREAME,0.26122278,0.33911017,Technology & Electronics
SAMSUNG MOBILE,0.43238747,0.33836165,Technology & Electronics
BANANA MOBILE,0.44741505,0.30617115,Technology & Electronics
DTAC HALL,0.33404937,0.2998626,Technology & Electronics
PAY BY P.A.PHONE,0.4324708,0.29195455,Technology & Electronics
itgo,0.4795469,0.28750506,Technology & Electronics
I CARE,0.27515042,0.26557124,Technology & Electronics
.LIFE,0.23886758,0.261469,Technology & Electronics
ADVICE,0.2899195,0.25297207,Technology & Electronics
INTERLINK,0.29885274,0.23522206,Technology & Electronics
LG Subscribe,0.18143284,0.19075575,Technology & Electronics
MODERN AIR,0.16286474,0.17872986,Technology & Electronics
K.ACCESSORIES,0.18733405,0.1783876,Technology & Electronics
REMAX,0.12739694,0.17168596,Technology & Electronics
AIS SERENADE,0.2006851,0.17162189,Technology & Electronics
JAYMART IOT,0.2897471,0.15524624,Technology & Electronics
DJI,0.121290416,0.1532776,Technology & Electronics
STUDIO 7,0.24503984,0.15303142,Technology & Electronics
HONOR,0.16415894,0.14479429,Technology & Electronics
BEBE PHONE,0.18661875,0.14391966,Technology & Electronics
Anker,0.17316318,0.13803907,Technology & Electronics
ASUS,0.15766111,0.13454221,Technology & Electronics
Maitreechit,0.11017692,0.13273585,Technology & Electronics
FOCUS STORE,0.16587748,0.12778904,Technology & Electronics
STUDIO7,0.18754207,0.12572601,Technology & Electronics
FOCUS SHOP,0.11561501,0.12429075,Technology & Electronics
SYMPHONY,0.16604209,0.12328632,Technology & Electronics
ME DESIGN,0.12631327,0.12202014,Technology & Electronics
TRUE INTERNET,0.10369557,0.112478524,Technology & Electronics
APPLE HOUSE,0.10779335,0.11200054,Technology & Electronics
SAMSUNG SERVICE,0.063265145,0.11188014,Technology & Electronics
REALME,0.1453892,0.111297034,Technology & Electronics
LG ELECTRONICS,0.15630467,0.108885914,Technology & Electronics
FOCUS,0.12710497,0.1067532,Technology & Electronics
Kinujo,0.078197,0.10628742,Technology & Electronics
Insta360,0.16152968,0.10554392,Technology & Electronics
ACE,0.0870245,0.10204455,Technology & Electronics
DTAC,0.21591976,0.09155097,Technology & Electronics
425 DEGREE,0.1242327,0.08748659,Technology & Electronics
BOSCH,0.11007331,0.08349185,Technology & Electronics
RATCHANON,0.058923624,0.07995815,Technology & Electronics
BEYOND D-BOX,0.07397806,0.06949173,Technology & Electronics
CASE CLUB,0.07043035,0.06626916,Technology & Electronics
TOT,0.04997869,0.054697003,Technology & Electronics
TRUE SPHERE,0.05139195,0.053149745,Technology & Electronics
ZOOM CAMERA,0.027555026,0.049719583,Technology & Electronics
I CONNECT,0.036401,0.04942665,Technology & Electronics
ONGSA MOBILE,0.036401,0.04942665,Technology & Electronics
HI-SHIELD,0.033585537,0.04826165,Technology & Electronics
APPLE SHEEP,0.047564756,0.047224738,Technology & Electronics
THE GADGET,0.036712006,0.032145556,Technology & Electronics
CASE TOWN,0.015669424,0.02936494,Technology & Electronics
keychron,0.008752271,0.0208241,Technology & Electronics
CSC,0.012294625,0.019643463,Technology & Electronics
GIZMO,0.018576272,0.019283064,Technology & Electronics
ปอก-โท-สับ,0.01168465,0.017305467,Technology & Electronics
PHONE HOUSE,0.012290667,0.016790561,Technology & Electronics
HI SHIELD,0.011887336,0.016342223,Technology & Electronics
YING MOBILE,0.0116639845,0.015979927,Technology & Electronics
HELLO MOBILE,0.007407262,0.015293434,Technology & Electronics
MOBILE PHONE,0.008706627,0.014335316,Technology & Electronics
IT CITY MOBILE,0.006722771,0.013785865,Technology & Electronics
OPPO SERVICE,0.009989221,0.013610393,Technology & Electronics
LUNVO,0.0098302625,0.012589335,Technology & Electronics
LUCKY PHONE,0.0042587337,0.008549951,Technology & Electronics
I SMART,0.0045382394,0.007748667,Technology & Electronics
I SERVICE,0.003713509,0.0072535425,Technology & Electronics
AIS SHOP BY PARTNER,0.0012599499,0.0065179504,Technology & Electronics
JAYMART,0.001495791,0.005482901,Technology & Electronics
BIG CAMERA GALLERIA,0.0004966289,0.0030540787,Technology & Electronics
