Tenant,MallCount
KFC,38
WATSONS,38
DAIRY QUEEN,37
AIS,37
AUNTIE ANNE'S,37
MK RESTAURANTS,36
BOOTS,36
SWENSEN'S,36
CAFÉ AMAZON,35
BIG CAMERA,35
SIAM COMMERCIAL BANK,35
YAYOI,35
TRUE,35
STARBUCKS COFFEE,34
CROCS,34
BANGKOK BANK,34
POTATO CORNER,33
BATA,33
SUPER SPORTS,33
UNIQLO,33
LYN,32
GIORDANO,32
SHABUSHI,32
POWER BUY,32
AURORA,32
YVES ROCHER,31
MISTER DONUT,31
ORIENTAL PRINCESS,31
SKECHERS,31
KRUNG THAI BANK,31
KASIKORN BANK,31
BETTER VISION,30
GOVERNMENT SAVINGS BANK,30
JASPAL,30
XIAOMI,30
BAR-B-Q PLAZA,29
OPPO,29
ADIDAS,29
TG FONE,29
SIZZLER,29
HACHIBAN RAMEN,29
BONCHON,29
FUJI JAPANESE RESTAURANT,29
JIB,28
DAISO,28
CPS CHAPS,28
B2S,28
CC-OO,27
S&P,27
SABINA,27
THE KLINIQUE,27
CHATRAMUE,27
BANK OF AYUDHYA,26
LYN AROUND,26
MOSHI MOSHI,26
TMB THANACHART BANK,25
MC JEANS,25
JAY MART,25
NITIPON CLINIC,25
THE PIZZA COMPANY,24
BEAUTRIUM,24
EYE CLASS,24
IT CITY,23
CHARLES & KEITH,23
KOI THE',22
JELLY BUNNY,22
VIVO,22
FUKU MATCHA,22
OWNDAYS,22
AKA,22
LEVI'S,22
AIIZ,21
OOTOYA,21
FITFLOP,21
SANTA FE' STEAK HOUSE,21
PLAYBOY,21
THE FACE SHOP,21
CONVERSE,21
TOPS MARKET,20
FOODPARK,20
BANANA,20
LAEM CHAROEN SEAFOOD,20
OFFICEMATE,20
CUTE PRESS,20
YUEDPAO,20
LACOSTE,20
HUAWEI,19
YAMAZAKI,19
ANELLO,19
BAKE A WISH,19
SAMSUNG,19
BODY GLOVE,19
KRISPY KREME,19
SE-ED BOOK CENTER,19
ZEN JAPANESE RESTAURANT,19
STUDIO 7,19
JUBILEE,18
KT OPTIC,18
SAMSUNG MOBILE,18
PRADAP,18
KATSUYA,18
MINISO,17
P&F,17
MC DONALD'S,17
DTAC HALL,17
MR. DIY,17
ON THE TABLE,17
OLINO CREPE & TEA,17
BANANA IT,17
PANDORA,17
PEPPER LUNCH,16
CENTRAL DEPARTMENT STORE,16
BANGKOK INSURANCE,16
DILAVIE,16
TAYWIN ORIGINAL STYLE,16
PRO CLEAN,15
GANGNAM CLINIC,15
BEBE PHONE,15
OPTIC SQUARE,15
BANGKOK GOLDS,15
GAGA,15
KRUNGSRI FIRST CHOICE,15
THE NEXT,15
COCO ICHIBANYA,15
TO B 1 HAIR STATION,14
GOVERNMENT HOUSING BANK,14
ASICS,14
HAVAIANAS,14
APEX,14
ROBINSON DEPARTMENT STORE,14
PREM,14
ROMRAWIN CLINIC,14
BLACK CANYON COFFEE,14
UOB XPRESS,14
MIXUE,13
UNITED OVERSEAS BANK,13
MUANG THAI LIFE ASSURANCE,13
UMAY PLUS,13
P.A.PHONE,13
MO-MO-PARADISE,13
WRANGLER,13
POLI-CHEM,13
LAOS YUAN,13
EXPORT SHOP,13
MAJOR CINEPLEX,13
CHESTER'S,13
