Mall,TenantCount
Central Westgate,1646
Central Ladprao,782
centralwOrld,596
Mega Bangna,582
Central Phuket,434
Central Pinklao,377
Central Rama 2,347
Central Rama 9,346
Central Rama 3,324
Central Udon,292
Central Chaengwattana,291
Central Westville,269
Central Chiangmai,263
Central Chonburi,256
Central Khonkaen,256
Central Eastville,250
Central Korat,246
Central Siracha,199
Central Suratthani,199
Central Hatyai,198
Central Salaya,195
Central Ubon,188
Central Nakhon Pathom,183
Central Phitsanulok,181
Central Nakhon Sawan,177
Central Rattanathibet,177
Central Rayong,176
Central Nakhon Si,171
Central Mahachai,163
Central Chiangrai,162
Central Pattaya,159
Central Ayutthaya,152
Central Village,144
Central Chanthaburi,142
Central Chiangmai Airport,138
Central Bangna,135
Central Lampang,130
Central Marina,94
Central Ramindra,93
Central Samui,89
