Tenant,Community,Corporate,Degree
AIS SERENADE,0,,10
MIDO,0,,15
ATM KRUNG THAI BANK,0,,5
EYE LAB,0,,9
ASA SERIVCES,0,,6
CATH KIDSTON,0,,11
COLD STONE CREAMERY,0,CRG,11
DREAME,0,,12
KIPLING,0,,17
MANGO,0,,9
MARIMEKKO,0,,9
NOOYOO,0,,9
ONE TO TWO COFFEE,0,,11
ROMRAWIN CLINIC,0,,15
TISCO BANK,0,,8
YOSHINOYA,0,CRG,6
AVENT,0,,17
BOBBI BROWN,0,,17
CAGGIONI,0,,15
CARSON,0,,16
CHICCO,0,,16
CITY TOYS,0,,14
COOKEEZ MAKERY HASBRO KIDDO,0,,10
CRUISE BY CHRISTIANA,0,,12
DAPPER,0,,13
DAVIDOFF,0,,16
DIOR,0,,12
DISNEY JEANS,0,,8
DISNEY KIDDO,0,,13
DISNEY PRINCESS,0,,14
ESPADA,0,,16
GQ SOCKS,0,,11
HUGO BOSS,0,,14
JEAN PAUL GAULTIER,0,,11
JOURNAL,0,,18
KIDDO,0,,17
LAURA MERCIER,0,,16
LEVIS KIDS,0,,9
LOLITA,0,,17
MAC,0,,16
MARVEL HASBRO KIDDO,0,,12
MONTBLANC,0,,14
NECA,0,,7
NERF HASBRO KIDDO,0,,12
NEW BALANCE,0,,20
OH JUICE,0,,5
OMAZZ,0,,15
PANASONIC,0,,13
PAW PATROL,0,,16
PERICO,0,,15
PHATMOJO,0,,9
POKEMON DEES SUPREME,0,,8
POLOTRAVEL CLUB,0,,15
PRIMA ART,0,,14
PRIMA DIAMOND,0,,13
PRIMA GOLD,0,,15
RADO,0,,15
RALPH LAUREN,0,,14
RIP CURL,0,,16
ROOKIE,0,,12
SEIKO,0,,16
SHU,0,,19
SILVERLIT,0,,14
SKECHERS FOAMIES,0,,11
SKII,0,,14
SUPER RICH THAILAND,0,,11
SYLVANIAN FAMILIES,0,,15
THE MARC JACOBS,0,,14
TOSHIBA,0,,16
VANS,0,,14
VERSACE,0,,13
VTECH,0,,14
ZEN,0,,11
ธนาคารไทยเครดิต,0,,11
BABYLISS,0,,9
BEGIN,0,,4
CHELSEE,0,,8
CITIZEN,0,,9
DIOR BACKSTAGE/DIOR,0,,6
DORTMUEND,0,,13
EAZY CLEAN LOCAL,0,,13
ELLE HOMME,0,,8
FOOTWEAR BY DAPPER,0,,9
GRANNY BEN,0,,8
IMOO,0,,10
LUMINOX,0,,8
MONARCH,0,,5
ANGEL KIDS,0,,14
BANDAI,0,,15
BOSSINI,0,,9
BRAUN,0,,12
BSC,0,,16
BVLGARI,0,,13
COACH,0,,13
DEFRY 01,0,,17
DELONGHI,0,,14
DELSEY,0,,12
ESP,0,,19
ESTIMATE,0,,14
EVERSINCE,0,,15
FONNEY,0,,14
GB,0,,13
GENTLEWOMAN,0,,13
HELLO WD,0,,12
KENWOOD SMALL,0,,11
KIDS&TEENS,0,,13
KIEHLS,0,,13
KRUPS,0,,16
LAMER,0,,14
LANEIGE,0,,11
LAZBOY,0,,11
MAJORETE,0,,13
NESTLE,0,,13
ORIENT,0,,12
PLY,0,,6
SEIKO CLOCK,0,,12
SIMPLICITY,0,,16
SIRENA,0,,15
THREE,0,,13
ELFE,0,,8
LOCCITANE,0,,7
4M KIDDO,0,,4
AKALIKO,0,,6
ALBEDO,0,,13
ALUMNUS,0,,11
ALUMNUS WOMEN,0,,13
AMOR,0,,11
ANDREW BROWN,0,,8
AQUAFLASK,0,,4
Anker,0,,6
BAA BAA SHEEPZ,0,,4
BABI MILD,0,,6
BABY EINSTEIN,0,,10
BAMBIES,0,,8
BANDAI KIDZ&KITZ,0,,7
BARBIE,0,,13
BE ME,0,,5
BEABA,0,,8
BEWELL,0,,5
BILLABONG,0,,7
BIRKENSTOCK,0,,11
BONBEBE,0,,9
BOON TONG KEE,0,,13
BRATPACK,0,,4
BRAUN SMALL,0,,8
BRIGHT STARTS,0,,11
BUMKINS,0,,7
BWELL,0,,13
BY NATURE,0,,10
Bringhome thebacon,0,,6
CANNON,0,,8
CHANEL,0,,12
CLAUDIA KLEID BLACK&WHITE,0,,12
CLAUDIA KLEID WEEKEND,0,,7
CLAUDIAS ROMANCE,0,,14
CLE DE PEAU BEAUTE,0,,7
CLEVAMAMA,0,,8
CLOVER,0,,10
CMP,0,,5
COLUMBIA,0,,7
COZY N SAFE,0,,6
CUT & CURL,0,,11
CozzySayido,0,,7
DANIEL WELLINGTON,0,,6
DEBLU HEALTHY WALK,0,,4
